gene_id,TCGA-3X-AAV9,TCGA-3X-AAVA,TCGA-3X-AAVB,TCGA-3X-AAVC,TCGA-3X-AAVE,TCGA-4G-AAZO,TCGA-4G-AAZT,TCGA-W5-AA2G,TCGA-W5-AA2H,TCGA-W5-AA2I,TCGA-W5-AA2O,TCGA-W5-AA2Q,TCGA-W5-AA2R,TCGA-W5-AA2T,TCGA-W5-AA2U,TCGA-W5-AA2W,TCGA-W5-AA2X,TCGA-W5-AA2Z,TCGA-W5-AA30,TCGA-W5-AA31,TCGA-W5-AA33,TCGA-W5-AA34,TCGA-W5-AA36,TCGA-W5-AA38,TCGA-W5-AA39,TCGA-W6-AA0S,TCGA-WD-A7RX,TCGA-YR-A95A,TCGA-ZD-A8I3,TCGA-ZH-A8Y1,TCGA-ZH-A8Y2,TCGA-ZH-A8Y4,TCGA-ZH-A8Y5,TCGA-ZH-A8Y6,TCGA-ZH-A8Y8,TCGA-ZU-A8S4
A1BG,70.9581,121.6409,75.3616,29.9768,126.5711,12.2251,201.0998,13116.3555,428.8077,1513.9423,6714.3918,32.3335,57.6339,109.5981,75.409,121.4008,180.9925,33.3051,64.0274,5374.8033,4699.1884,23.4497,41.394,20.0293,642.2817,27.9607,15570.2941,5808.8062,48.5437,42.1595,280.0367,1485.063,33.045,181.5105,1705.0288,169.7021
ABCB11,3.8106,1.7153,3.8896,1.6351,1.0332,0,0,181.9612,11.8602,2.4038,26.9107,6.7883,6.0136,0,3.6008,3.7308,1.5308,1.7817,1.4663,156.2529,66.4452,0.5133,0,0,296.8568,2.3699,76.8527,17.8777,0.4854,8.433,0.5242,25.6783,0.6515,9.757,30.8642,4.4871
ABCB1,553.62,11992.5672,220.7366,4093.7457,5197.4687,2018.0412,1808.2941,1143.6812,180.3995,212.1394,2818.6222,4.2427,9342.4309,35.3511,933.9485,15.9892,6.6335,126.9488,83.5777,330.6489,290.935,67.7618,2902.0737,9.2819,80.326,3283.3274,764.8673,2118.8005,1176.699,6.7464,10100.38,135.6589,38.7654,720.5179,410.6996,369.9364
ABCB4,51.1704,133.219,33.5481,31.6119,60.9583,19.7595,19.444,1062.4017,367.0412,88.3413,324.0043,2.1213,49.0343,3.3898,12.1526,4.2638,45.9242,5.7906,8.7977,387.6701,316.0892,3.5934,38.5945,1.4656,3144.3539,23.6995,805.6463,313.1488,7.767,3.3732,358.0134,136.6279,1.9546,22.1409,182.3045,27.4212
ABCC11,1.6331,2.287,1.4586,4.9053,1.0332,0.8591,0,10.4877,0.6242,52.2837,8.0732,7.6368,3.2381,7.7482,3.6008,10.1265,5.613,1.7817,3.4213,8.1459,8.0683,0.5133,5.1843,4.3967,416.7637,1.422,10.4561,7.4971,4.3689,1.1244,3.6692,8.7209,15.9622,15.0108,7.8189,1.9943
ABCC1,1335.8737,1312.7501,2550.626,347.7313,2802.0147,973.3677,490.9616,1551.6518,1782.7715,892.4279,1756.1895,4598.2181,4096.6809,476.0291,1248.5653,2234.7589,2767.1897,1850.3341,1192.5709,2180.8757,1836.7347,1607.8029,1356.5668,1228.1387,167.6368,1846.1903,947.3271,724.3368,1898.5437,3794.3015,1428.9084,1290.6977,1184.4613,497.6077,1721.3992,1902.0317
ABCC2,19.0528,12.0069,1.4586,1187.6277,1008.9113,226.8041,4.861,556.8956,29.3383,131.6106,364.3703,19.9406,138.7765,134.1404,650.3882,3.7308,4491.3892,145.2116,502.9326,510.5989,336.972,15.9138,61.0599,2349.7802,1483.1199,17.0636,537.4461,142.4452,1592.7184,20.2393,1485.5196,1427.8101,13.6819,296.8384,113.9918,30.9111
ABCC6,38.1056,581.4751,33.5481,914.021,143.097,241.4089,396.7796,699.0037,4.9938,1021.0337,344.9946,410.6916,2065.9188,389.3462,226.3981,425.846,63.2734,703.3408,366.0802,781.2645,682.4869,317.7618,2601.3825,684.9047,1521.5367,118.0235,1140.2431,1445.2134,650.4854,262.5483,1139.5623,776.1628,322.5018,940.0507,279.8354,109.1861
ABCG2,146.9788,64.6083,59.8031,179.316,50.1098,140.0344,37.0652,286.838,79.2759,11.4183,55.9742,20.7891,49.0343,26.6344,56.262,22.9179,13.267,62.3608,44.477,177.3581,112.0076,27.2074,74.8848,21.4949,77.9977,23.6995,250.4248,96.3091,27.1845,44.414,123.1818,39.2442,32.5759,162.1165,95.8848,47.8624
ABCG8,8.1655,3.4305,0,1.0901,4.1328,85.0515,47.3948,380.1783,0,15.024,73.197,0.8485,0,2.9056,0.4501,7.9946,6.6335,2.2272,90.4203,216.9768,100.617,0,1.1521,2.4426,877.7648,0,359.6915,103.8062,18.932,5.0598,0,74.6124,2.6061,1308.9408,87.2428,21.9369
