Gene,TCGA-3X-AAV9-01A-72D-A418-05,TCGA-3X-AAVA-01A-11D-A418-05,TCGA-3X-AAVB-01A-31D-A418-05,TCGA-3X-AAVC-01A-21D-A418-05,TCGA-3X-AAVE-01A-11D-A418-05,TCGA-4G-AAZO-01A-12D-A418-05,TCGA-4G-AAZT-01A-11D-A418-05,TCGA-W5-AA2G-01A-11D-A418-05,TCGA-W5-AA2H-01A-31D-A418-05,TCGA-W5-AA2I-01A-32D-A418-05,TCGA-W5-AA2O-01A-11D-A418-05,TCGA-W5-AA2Q-01A-11D-A418-05,TCGA-W5-AA2R-01A-11D-A418-05,TCGA-W5-AA2T-01A-12D-A418-05,TCGA-W5-AA2U-01A-11D-A418-05,TCGA-W5-AA2W-01A-11D-A418-05,TCGA-W5-AA2X-01A-11D-A418-05,TCGA-W5-AA2Z-01A-11D-A418-05,TCGA-W5-AA30-01A-31D-A418-05,TCGA-W5-AA31-01A-11D-A418-05,TCGA-W5-AA33-01A-11D-A418-05,TCGA-W5-AA34-01A-11D-A418-05,TCGA-W5-AA36-01A-11D-A418-05,TCGA-W5-AA38-01A-11D-A418-05,TCGA-W5-AA39-01A-11D-A418-05,TCGA-W6-AA0S-01A-11D-A418-05,TCGA-WD-A7RX-01A-12D-A418-05,TCGA-YR-A95A-01A-12D-A418-05,TCGA-ZD-A8I3-01A-11D-A418-05,TCGA-ZH-A8Y1-01A-11D-A418-05,TCGA-ZH-A8Y2-01A-11D-A418-05,TCGA-ZH-A8Y4-01A-11D-A418-05,TCGA-ZH-A8Y5-01A-11D-A418-05,TCGA-ZH-A8Y6-01A-11D-A418-05,TCGA-ZH-A8Y8-01A-51D-A418-05,TCGA-ZU-A8S4-01A-11D-A418-05
A1BG,0.724973311,0.663318565,0.545141106,0.462982624,0.639993776,0.488339883,0.524523932,0.619455442,0.882244794,0.597995956,0.482979449,0.403705079,0.640488747,0.373716828,0.449821519,0.422331967,0.332522876,0.51159388,0.580511314,0.497039708,0.601353537,0.607248499,0.485641257,0.554175137,0.32521425,0.795939286,0.641508481,0.767107179,0.537568858,0.423414266,0.467375749,0.607778374,0.260719368,0.752812591,0.567177892,0.617289858
ABCB1,0.054325784,0.043230458,0.151543353,0.038311957,0.050051089,0.036801681,0.041571786,0.037156795,0.068905666,0.105114089,0.031714989,0.046312929,0.055288586,0.085679762,0.03393322,0.180755113,0.03053986,0.039175372,0.127181564,0.04738436,0.211097403,0.038037351,0.038633232,0.074058012,0.061500379,0.044168619,0.053924798,0.031216855,0.070273909,0.040578326,0.037376082,0.040728303,0.227546737,0.039944159,0.061562854,0.04474005
ABCB11,0.737173125,0.853079974,0.829461686,0.853411058,0.845441523,0.911304847,0.88065638,0.745104008,0.828326932,0.890213155,0.809792053,0.671380723,0.85190927,0.814045303,0.845990605,0.785507179,0.686587401,0.829643719,0.778616306,0.649434856,0.78480497,0.893422821,0.81487758,0.825333647,0.311175222,0.809500422,0.801261409,0.842131585,0.832085043,0.856428314,0.753451282,0.855753035,0.859207976,0.830480323,0.797325668,0.695001094
ABCB4,0.155111975,0.420350806,0.187602734,0.236435392,0.214941444,0.24905953,0.219432698,0.266342489,0.128721859,0.501732573,0.268537849,0.285906755,0.270498984,0.581766303,0.672715515,0.26721836,0.119902368,0.280098482,0.25937214,0.199991985,0.49894972,0.321531486,0.581428583,0.317908768,0.072141171,0.410573834,0.33789169,0.446329521,0.308782641,0.292477112,0.221949157,0.285233571,0.703850154,0.052100929,0.207370071,0.230226969
ABCC1,0.091118701,0.145362533,0.109083871,0.10281406,0.068924419,0.056529942,0.074445401,0.138616216,0.055848096,0.1411928,0.088587468,0.089454332,0.070249279,0.067091905,0.057297728,0.084559539,0.051093364,0.085124228,0.09648435,0.092587856,0.103421845,0.106313734,0.138638945,0.087925495,0.075840436,0.160108013,0.103761944,0.104596844,0.127778381,0.076576132,0.077924935,0.101438135,0.045101846,0.087156936,0.093073068,0.096153158
ABCC11,0.726780299,0.916841996,0.790965586,0.818165,0.706983036,0.715093799,0.78212813,0.652910424,0.777545921,0.786493091,0.669087225,0.554719273,0.692002002,0.597433166,0.876030164,0.607524065,0.696642313,0.66750179,0.634354604,0.492103278,0.565733244,0.808886865,0.816840295,0.490736943,0.271965629,0.882656112,0.718129493,0.746732391,0.543192028,0.677210597,0.620694653,0.683117122,0.732852491,0.435521576,0.708487338,0.70138299
ABCC2,0.79455967,0.784061699,0.817011579,0.394499239,0.732690901,0.53251348,0.734250958,0.670640669,0.895166661,0.636205545,0.493818692,0.673701055,0.78969126,0.262255229,0.367007018,0.795319391,0.313405585,0.734686172,0.651510391,0.64417887,0.736604987,0.666485086,0.635727169,0.429539384,0.219207384,0.74296829,0.797497628,0.727665016,0.441287067,0.695714609,0.294771346,0.354261714,0.727504381,0.282591685,0.733989137,0.798293017
ABCG8,0.809297427,0.850679146,0.763743743,0.832580593,0.835080453,0.900681386,0.852174468,0.710481378,0.821461769,0.872449615,0.783787723,0.884972209,0.848009265,0.847116149,0.840665399,0.878236056,0.558587981,0.863438755,0.81655608,0.81224665,0.782236243,0.889063234,0.881230494,0.838042961,0.311740794,0.78085365,0.814476073,0.829842564,0.85219928,0.859552974,0.805867083,0.867465582,0.862041397,0.309330249,0.834935974,0.706837353
ACTB,0.037454515,0.036541403,0.042281611,0.042619242,0.045601639,0.034142159,0.035122287,0.029528985,0.033879865,0.044545234,0.032713541,0.047642429,0.041040709,0.034576193,0.040387133,0.031948483,0.034835939,0.037128299,0.060682953,0.043788515,0.068794505,0.046527936,0.041473909,0.068484271,0.063767917,0.045464058,0.040426853,0.030784074,0.065217417,0.045772622,0.037237169,0.035809768,0.0303899,0.039956756,0.06465493,0.038435642
ADRA2A,0.060595659,0.034413403,0.041818492,0.04135408,0.059712492,0.031810578,0.033373598,0.036679691,0.074693969,0.128983963,0.028405251,0.049772114,0.05591811,0.028232273,0.032057988,0.038027641,0.029603873,0.041700774,0.064298556,0.045406916,0.161711242,0.042402626,0.042052109,0.061355196,0.051300202,0.050297395,0.057234624,0.033511597,0.054326094,0.044127737,0.03638929,0.040086155,0.027263996,0.04474708,0.056313347,0.038324315
ADRB1,0.202146103,0.233055413,0.196929973,0.235900846,0.231181646,0.232684548,0.245590094,0.339277199,0.213405388,0.282338717,0.213813958,0.320266978,0.247599783,0.239679035,0.509858179,0.302563539,0.206736895,0.26021909,0.251890965,0.159230615,0.450057634,0.183466622,0.478740476,0.279186966,0.18725755,0.218266312,0.276149404,0.239829456,0.298097922,0.24111717,0.271750127,0.39715107,0.278880683,0.206706791,0.206454006,0.183079484
