gene_id,TCGA-3X-AAV9,TCGA-3X-AAVA,TCGA-3X-AAVB,TCGA-3X-AAVC,TCGA-3X-AAVE,TCGA-4G-AAZO,TCGA-4G-AAZT,TCGA-W5-AA2G,TCGA-W5-AA2H,TCGA-W5-AA2I,TCGA-W5-AA2O,TCGA-W5-AA2Q,TCGA-W5-AA2R,TCGA-W5-AA2T,TCGA-W5-AA2U,TCGA-W5-AA2W,TCGA-W5-AA2X,TCGA-W5-AA2Z,TCGA-W5-AA30,TCGA-W5-AA31,TCGA-W5-AA33,TCGA-W5-AA34,TCGA-W5-AA36,TCGA-W5-AA38,TCGA-W5-AA39,TCGA-W6-AA0S,TCGA-WD-A7RX,TCGA-YR-A95A,TCGA-ZD-A8I3,TCGA-ZH-A8Y1,TCGA-ZH-A8Y2,TCGA-ZH-A8Y4,TCGA-ZH-A8Y5,TCGA-ZH-A8Y6,TCGA-ZH-A8Y8,TCGA-ZU-A8S4
ACTB,115143.7126,78797.5986,154097.4839,91502.3845,92019.114,119260.3093,91098.2835,85082.8526,223801.4981,105236.7788,73629.7094,77750.5303,67514.745,107726.3923,76257.9048,73256.7095,80683.2504,76079.2873,100031.2805,104060.3536,77480.2088,99667.3511,88720.6221,94999.5115,62573.9232,92456.4522,93078.5518,96469.4348,99606.3107,94248.6732,48484.3402,135413.7597,108804.9515,57305.1881,125693.4156,166917.6119
ADRB3,3.2662,1.1435,5.3482,0,0.5166,0,0,1.5732,4.9938,0,0,0.4243,0,0.4843,0,0,0,0.4454,0.9775,2.2216,0,0,1.1521,0,0,0.474,1.0456,0,1.4563,0,2.0967,0,0,0,0.4115,1.9943
AFM,0,8.0046,0.9724,0,8.7821,0,0,1172.5223,0,242.1875,554.3595,33.9415,0,20.8232,0.4501,2.6649,62.7631,0,152.0039,777.1915,922.1642,1.54,0,2.4426,2678.6962,0.474,2267.9388,683.9677,5.8252,7.3086,1.0484,182.655,0.3258,22.8915,243.2099,4.9857
ALAS1,925.4219,922.2413,1494.591,1271.0178,1038.8738,871.9931,669.6035,2300.4719,693.5081,880.4087,951.5608,1046.6695,941.8295,579.661,775.9649,810.6531,594.4636,667.706,875.8553,1277.7932,1159.4684,733.0595,1135.9447,1485.1001,2349.2433,902.4766,3528.4277,2390.4268,888.3495,662.274,722.3169,1425.8721,1008.2254,1146.0737,1183.1276,1575.9691
AQP1,10682.7654,148932.6472,5413.2588,27050.5518,88381.7797,60822.2766,69886.6778,1367.5931,2530.5868,57543.2692,42039.6771,1457.2847,40258.0641,18963.6126,45717.2184,23762.6934,1352.6776,36044.7038,29432.5513,12803.3954,21104.9027,68334.7023,83736.1751,976.5071,682.9802,105634.2695,4502.2664,130328.7197,25817.8689,1335.2298,21832.9603,76844.0504,38245.2252,2313.5941,31274.0617,4928.9194
ARAF,1951.0071,1695.2544,1957.9434,1775.7188,1641.2243,2103.0928,3407.5649,1264.8138,2579.2759,893.0288,1583.423,1476.0289,1959.9861,2607.2639,1738.2694,1846.2211,1562.9545,1706.9042,1744.868,1596.9638,2015.1875,3888.6037,2256.3364,2109.4284,2209.546,1598.7676,1796.8893,1756.0554,2059.7087,1781.6182,2119.2504,1960.7558,1381.5457,1386.6216,1430.0412,1630.8114
ARHGEF11,967.8824,1331.6181,970.4631,1299.9046,1206.2508,1792.9553,643.4756,931.3057,434.4569,1082.3317,850.915,3860.4158,2602.9837,1152.5424,1234.6124,3127.49,2308.4577,2064.1425,3032.2581,2002.4067,1909.3498,1441.4784,1029.9539,1282.853,2429.5693,1171.7028,1637.9558,1182.2376,1488.3495,2803.1393,2009.1731,2077.5194,3783.37,1765.6441,1432.9218,999.1275
ATP5B,9492.1067,29117.2098,6304.1206,16666.0308,13220.7155,14745.7045,15323.105,10902.4646,6832.0849,7530.0481,13241.1195,8420.4497,15269.1107,12243.0993,16518.9603,19281.3915,6500.8292,14106.4588,8318.1818,11598.2597,8146.654,17685.8316,50578.9171,21541.2799,34298.021,27130.2287,12152.137,15515.5709,10783.0097,7125.9108,7818.6345,31436.531,10707.3866,23247.2089,9689.7119,13184.5943
BIRC7,687.534,15.4374,127.3854,13.6258,5.6826,12.8866,12.7601,16.7803,22.4719,7.2115,3.2293,3.3941,3.2381,1.4528,2.2505,7.4616,16.8389,4.8998,1.955,4.8135,5.2207,3.5934,5.1843,6.8393,0,14.6937,2.614,2.8835,16.0194,12.9306,0,0.4845,0,0,5.3498,20.4412
CA3,89.7006,7.4328,10.7937,246.4041,3.6162,0,6.6839,8.3901,13.7328,1.8029,4.8439,9.7582,6.0136,46.4891,4.501,4.2638,47.0519,12.0267,8.7977,81.7995,29.4257,2.0534,4.0323,0.4885,3.4924,19.7654,23.9394,13.2641,10.6796,7.8708,0.5242,9.5446,3882.8537,118.6678,13.6996,42.8767
CADM1,2195.4273,1120.0686,696.7303,1301.5397,490.2493,1655.4983,648.9443,1551.1274,208.4894,448.3173,706.6738,264.319,436.2207,863.4383,249.353,739.7676,2531.4453,1471.2695,815.738,1991.669,278.1206,1061.6016,871.5438,213.4831,761.3504,684.9153,824.4674,1703.5755,219.9029,1009.7149,691.9146,645.8333,1015.3921,187.2596,1659.2593,418.796
CASP9,283.6146,200.1144,398.6872,596.2665,148.2629,242.268,283.1536,172.5223,431.3358,236.7788,175.9957,190.4964,231.2941,266.3438,195.3415,204.6619,280.648,233.4076,259.5308,203.2769,203.607,178.6448,209.1014,233.0239,688.0093,179.6421,252.516,204.729,247.5728,326.0772,246.3635,189.9225,132.9098,426.6817,245.679,375.4207
CCDC40,118.6717,245.8548,101.1304,28.8868,298.5923,132.3024,224.8215,30.4143,39.9501,850.3606,132.9386,71.7013,167.4569,230.5085,190.3905,75.6823,196.4536,509.5768,227.7615,192.1688,134.3142,128.3368,188.3641,193.9424,29.1036,83.8962,345.5757,354.0946,288.3495,154.6056,282.5318,199.6124,95.1218,39.0281,67.4897,91.7363
CCNH,514.4801,475.8662,518.6727,310.996,373.9946,506.7784,554.659,578.5632,809.0512,468.6298,710.6459,350.3988,583.5642,415.9419,430.9171,691.0857,370.2564,611.902,330.65,655.0995,432.373,624.6869,555.7488,563.2389,715.1222,815.2767,495.5744,611.5398,496.4854,377.3612,287.7631,730.4893,573.8187,588.1002,644.7325,476.9687
CCT2,2702.2319,2765.0086,1711.4379,1838.3976,4006.7157,2475.945,2789.6096,2678.0283,1966.9164,2871.9952,3837.4596,1913.025,3396.785,2523.0024,2973.7819,3043.8131,37542.0334,5126.5033,2940.8602,3600.1111,2938.7755,4895.2772,4486.1751,3552.5159,1448.1956,3752.1033,2952.8166,2821.7993,3841.7476,3382.2074,2270.7378,5063.469,2262.3992,1521.3435,3893.4156,4699.489
CD109,677.7246,76.6152,896.0739,85.5702,273.7957,21.4777,64.4083,77.6088,59.3009,11.4183,129.7094,114.5524,171.1576,123.9709,176.4375,111.3915,90.3176,600.4365,138.8074,158.8448,198.8609,35.9343,108.871,58.1339,67.5204,161.6305,81.558,66.3206,292.233,548.7092,340.7155,1751.9283,330.3201,419.1313,465.4156,1547.0522
CD55,4132.2809,624.9285,7591.1025,913.476,555.8569,736.2543,416.2236,472.4698,978.1523,581.1298,595.2637,588.0356,584.2489,319.6126,1434.9049,357.6254,6930.9861,1073.9421,818.1818,355.0866,801.6137,771.0472,232.1429,285.7841,895.227,1209.622,679.6497,562.2837,374.2718,1271.701,431.9224,460.2713,1300.1059,282.9534,1072.8395,1392.9951
CDC6,216.6576,203.5449,201.7746,915.1111,531.5769,183.8488,50.4329,503.9329,134.8315,600.3606,896.1249,175.2227,93.4428,338.0145,401.0352,367.7519,788.8761,210.245,725.3177,252.8927,325.1068,164.271,251.1521,567.1715,324.7963,200.4977,312.6389,302.1915,787.3786,265.9216,467.5665,306.686,196.1072,103.9497,415.6379,894.9271
CDK5,238.9766,658.0903,215.3884,377.7081,450.988,169.244,506.7598,347.1421,297.7528,856.3702,818.6222,240.56,172.5454,322.5182,329.9201,278.7453,347.4933,322.049,377.3216,212.1633,327.0052,574.4353,429.1475,723.4978,461.0012,530.8686,373.2845,441.7532,266.0194,318.7686,331.2803,495.155,255.3954,293.0857,481.893,621.7126
CHD5,14.1535,3.4305,10.6965,4.3603,2.583,0,0,73.4137,3.1211,1.8029,1.0764,0.4243,6.4762,2.9056,2.7006,2.1319,1.0205,4.0089,4.8876,19.2539,1.4238,0.5133,9.2166,0,1.1641,2.3699,1.5684,2.8835,2.4272,3.9354,1.0484,2.907,0.6515,1.1258,4.1152,0.4986
CIZ1,1660.8601,1838.1933,1747.417,1723.3956,2131.4736,1496.5636,2119.3985,1037.7556,2032.4594,1140.625,1945.1023,1943.1481,1978.4896,1008.7167,1426.8032,2141.4885,1875.7495,2131.8486,1315.738,1580.3018,1276.2221,2586.7556,1735.5991,1079.1402,1175.7858,2238.1799,1183.1133,861.5917,1168.4466,2032.9226,1492.8581,1537.7907,1782.8813,1760.3903,1027.572,2018.1977
CLDN18,113.2281,20.5832,18280.7828,78.4848,4.6494,0.8591,0,1.5732,2.4969,2325.1202,1.6146,1.2728,6.4762,28.5714,5.4011,6.3957,1.0205,234.2984,4.3988,4.8135,28.4765,9.7536,5.1843,1.9541,1.1641,6.1619,89.9229,7.4971,417.9612,7.8708,4.7176,5.3295,9.1213,7.1301,2.0576,2.9914
CLIC3,238.9766,2.287,908.229,12.5358,14.9813,9.4502,45.5719,3.6707,194.7566,325.7212,2.6911,179.0412,12.9525,0,27.4558,13.3243,559.255,29.8441,11.2414,6.6648,55.0546,2.0534,0,10.7474,150.1746,5.6879,46.5299,2.8835,37.8641,58.469,35.6441,1.938,33.2275,0,76.1317,101.7076
