Gene,TCGA-3X-AAV9-01A-72D-A418-05,TCGA-3X-AAVA-01A-11D-A418-05,TCGA-3X-AAVB-01A-31D-A418-05,TCGA-3X-AAVC-01A-21D-A418-05,TCGA-3X-AAVE-01A-11D-A418-05,TCGA-4G-AAZO-01A-12D-A418-05,TCGA-4G-AAZT-01A-11D-A418-05,TCGA-W5-AA2G-01A-11D-A418-05,TCGA-W5-AA2H-01A-31D-A418-05,TCGA-W5-AA2I-01A-32D-A418-05,TCGA-W5-AA2O-01A-11D-A418-05,TCGA-W5-AA2Q-01A-11D-A418-05,TCGA-W5-AA2R-01A-11D-A418-05,TCGA-W5-AA2T-01A-12D-A418-05,TCGA-W5-AA2U-01A-11D-A418-05,TCGA-W5-AA2W-01A-11D-A418-05,TCGA-W5-AA2X-01A-11D-A418-05,TCGA-W5-AA2Z-01A-11D-A418-05,TCGA-W5-AA30-01A-31D-A418-05,TCGA-W5-AA31-01A-11D-A418-05,TCGA-W5-AA33-01A-11D-A418-05,TCGA-W5-AA34-01A-11D-A418-05,TCGA-W5-AA36-01A-11D-A418-05,TCGA-W5-AA38-01A-11D-A418-05,TCGA-W5-AA39-01A-11D-A418-05,TCGA-W6-AA0S-01A-11D-A418-05,TCGA-WD-A7RX-01A-12D-A418-05,TCGA-YR-A95A-01A-12D-A418-05,TCGA-ZD-A8I3-01A-11D-A418-05,TCGA-ZH-A8Y1-01A-11D-A418-05,TCGA-ZH-A8Y2-01A-11D-A418-05,TCGA-ZH-A8Y4-01A-11D-A418-05,TCGA-ZH-A8Y5-01A-11D-A418-05,TCGA-ZH-A8Y6-01A-11D-A418-05,TCGA-ZH-A8Y8-01A-51D-A418-05,TCGA-ZU-A8S4-01A-11D-A418-05
AQP1,0.428735626,0.240644729,0.510507732,0.265437101,0.329428627,0.188822939,0.199427219,0.702792991,0.473405506,0.257265075,0.457194164,0.83105415,0.301294946,0.455526587,0.202695942,0.199622814,0.328966755,0.239947766,0.288436918,0.548382866,0.410767822,0.243858184,0.239564078,0.744710083,0.758406424,0.2761136,0.66594907,0.25734704,0.297151565,0.650860081,0.218230681,0.202118009,0.169245898,0.542901682,0.335912693,0.349833611
ARAF,0.098613494,0.278982249,0.434805507,0.458571781,0.114045004,0.422337703,0.113597783,0.363788132,0.42186453,0.113316342,0.105389403,0.109582868,0.481049434,0.139782247,0.415969205,0.384551033,0.086856346,0.442567397,0.112603028,0.120082473,0.116906168,0.414237091,0.366885342,0.475627495,0.12057479,0.471252924,0.45574266,0.130292995,0.41780836,0.409701015,0.190402936,0.108718779,0.097275174,0.388185927,0.107046959,0.108590707
CA3,0.429036081,0.668949722,0.622718426,0.695065695,0.534053245,0.721052127,0.679830887,0.532151228,0.315790448,0.748801448,0.580783341,0.721627555,0.615784019,0.764564054,0.681919023,0.732032109,0.598123805,0.623314055,0.585548336,0.294161237,0.524953371,0.693432146,0.693438192,0.56571112,0.583577861,0.603858812,0.569261196,0.661677624,0.611020731,0.660312823,0.653011249,0.616015451,0.406390123,0.19214735,0.287099531,0.285741169
CASP9,0.035582381,0.032988459,0.023608119,0.031059116,0.035175972,0.035775721,0.0340605,0.039812469,0.031787605,0.049705102,0.052930005,0.043561517,0.044523571,0.033407623,0.045024698,0.049929653,0.047272268,0.053539402,0.060238494,0.042926322,0.053830979,0.046997144,0.058862854,0.055168618,0.054485662,0.047400766,0.037948698,0.037462062,0.05653447,0.06632657,0.068043581,0.039691396,0.052846271,0.037455471,0.063990556,0.02271044
CLDN18,0.724155548,0.807017388,0.52234547,0.605784352,0.798697644,0.837158033,0.804658355,0.710275809,0.770536115,0.789804721,0.767109995,0.814136137,0.803788382,0.736887795,0.818011088,0.818321625,0.575013117,0.805449982,0.76920886,0.79488575,0.761363223,0.754887273,0.807083841,0.801841255,0.673324987,0.802978134,0.789853895,0.810851057,0.765699576,0.76518741,0.761547675,0.823982983,0.774142475,0.716052292,0.762203364,0.767800129
EED,0.051233996,0.054432525,0.040008724,0.056341563,0.050328003,0.046778258,0.071795461,0.071382016,0.069457717,0.055410479,0.053548722,0.041927589,0.06772036,0.055375006,0.043453725,0.048392942,0.050199781,0.07270635,0.051914886,0.0514603,0.05315053,0.084065465,0.086393271,0.070049983,0.090975674,0.07003894,0.048669457,0.041678305,0.080079848,0.044610503,0.052808385,0.069848789,0.04453885,0.046629794,0.056306291,0.05591322
EPOR,0.351476784,0.469341171,0.307996702,0.315426191,0.33838002,0.331476078,0.353634197,0.334227863,0.342898461,0.33015191,0.282399697,0.235576528,0.362132449,0.249336299,0.293215567,0.278909504,0.239251923,0.289574257,0.341463913,0.282674216,0.322146259,0.292869929,0.417629055,0.277407462,0.258137713,0.369144072,0.352203064,0.397997075,0.314155558,0.351715151,0.275833693,0.282073221,0.298702945,0.219109917,0.299832668,0.381868159
EPS8,0.059351199,0.069748774,0.05722514,0.048621246,0.052913327,0.032072915,0.038472818,0.042882447,0.067113809,0.048053251,0.082814027,0.047566932,0.063055397,0.03112502,0.036061546,0.029019117,0.031469543,0.036216473,0.071902561,0.048076786,0.058881801,0.048073863,0.050304715,0.057000979,0.053857198,0.044257463,0.055693838,0.029189069,0.05883955,0.044875064,0.039992923,0.041911237,0.031586017,0.042288696,0.053845322,0.041817986
EREG,0.231978088,0.750219566,0.225471978,0.308113193,0.370072825,0.464902331,0.53122441,0.504354385,0.234911249,0.807114107,0.310134467,0.583881035,0.367445282,0.434997559,0.795858055,0.313640766,0.183730475,0.351568734,0.604915249,0.360823286,0.41695029,0.38683125,0.593510672,0.361262126,0.278823227,0.494093812,0.56478734,0.666661279,0.27553287,0.43175762,0.336680433,0.357462186,0.402259427,0.351808728,0.221897089,0.185030904
KRT20,0.839361112,0.919521071,0.864774937,0.59602932,0.870452445,0.92178561,0.906135919,0.873431155,0.869792115,0.915502718,0.906210967,0.881232368,0.889479259,0.891358856,0.869023975,0.890409124,0.771148609,0.888985298,0.855055138,0.862126186,0.827654655,0.908836098,0.909173497,0.873835646,0.674692054,0.903471868,0.889471265,0.906307755,0.874671695,0.883009423,0.877524264,0.880284631,0.907729695,0.90755546,0.841824582,0.873377517
LGR5,0.141027369,0.164964961,0.140394652,0.143623359,0.141451464,0.142073012,0.148542262,0.143901912,0.160360554,0.389244843,0.134495956,0.186100837,0.149143725,0.134373695,0.385196833,0.143737443,0.106973687,0.151347563,0.299569027,0.140832425,0.397343778,0.141348822,0.140232422,0.170187776,0.1456345,0.209349968,0.325264821,0.171755745,0.167039473,0.15228793,0.140659242,0.141374308,0.133994866,0.137447817,0.167868447,0.141471501
LYN,0.140381908,0.308109054,0.128658649,0.215091329,0.144998058,0.209607711,0.208715419,0.198338086,0.146071526,0.236165857,0.199971044,0.080779261,0.181230899,0.145330863,0.171633358,0.179321293,0.052403047,0.082912105,0.122566786,0.127913437,0.142872583,0.145413309,0.225007815,0.192204705,0.092791563,0.216554687,0.201227567,0.244808113,0.20628232,0.076494582,0.120915835,0.076966485,0.042056238,0.0755699,0.09648634,0.153843069
MBP,0.598860624,0.634395554,0.569574196,0.579429499,0.585263353,0.628490256,0.600070274,0.611454308,0.62971869,0.625899266,0.611210518,0.61207456,0.608916837,0.587876109,0.623114433,0.621454744,0.561032807,0.58946611,0.58821072,0.567686809,0.592381999,0.615654038,0.616924189,0.601804011,0.552791742,0.621420921,0.612928623,0.620286898,0.591446771,0.564147058,0.604548614,0.614768211,0.594271751,0.55166081,0.58090578,0.614833237
MME,0.086938567,0.200558236,0.123222011,0.111929334,0.128351663,0.171945599,0.150973151,0.204551297,0.07669887,0.252046001,0.13389435,0.193191988,0.169962612,0.18490908,0.478290997,0.174195541,0.063909191,0.14369779,0.215648392,0.169928186,0.1327903,0.133387347,0.200576844,0.169435243,0.138092543,0.227533171,0.42748984,0.187461923,0.171666718,0.170205322,0.098134745,0.220096954,0.089825305,0.093166842,0.113104083,0.118788236
NTRK1,0.309758835,0.542637198,0.360275632,0.405239999,0.417152899,0.487632261,0.467159521,0.445594549,0.351806598,0.56842908,0.428477946,0.457323569,0.426436754,0.499699352,0.51772761,0.420925155,0.204140723,0.454314299,0.534192942,0.389306611,0.477252558,0.47423576,0.510926716,0.513185161,0.318731481,0.511887296,0.512353528,0.505287834,0.475609925,0.394892667,0.364429748,0.455888414,0.435614033,0.376107232,0.409713316,0.323054956
OLFM4,0.544291206,0.611534851,0.536032294,0.334997543,0.56664386,0.44946039,0.355511896,0.405285162,0.60075094,0.613897862,0.539703831,0.601250314,0.55347053,0.445844111,0.635666565,0.620014772,0.334164193,0.55144786,0.498368339,0.475442292,0.542487225,0.589852867,0.328391573,0.486923093,0.43831986,0.600287266,0.528230653,0.46556472,0.485143036,0.565433212,0.325690188,0.645867108,0.545948781,0.684599967,0.474995576,0.48915992
OMP,0.688892602,0.764596453,0.667762446,0.69830504,0.710209888,0.777456272,0.754763023,0.735451968,0.675039529,0.778780278,0.759494504,0.754364887,0.717369139,0.763906294,0.750976119,0.721282364,0.632786711,0.766631108,0.68804186,0.744698679,0.708793836,0.77039288,0.773570336,0.745645433,0.727761008,0.708473507,0.731835583,0.765085729,0.734846943,0.75220519,0.736847313,0.727471824,0.749012452,0.700269916,0.713827604,0.709738263
PODXL,0.108289288,0.265113754,0.113594211,0.174524432,0.159349885,0.096054766,0.10343772,0.213473884,0.059235718,0.278058361,0.244790559,0.072553418,0.107606501,0.133665462,0.173575895,0.115359067,0.035798687,0.166511013,0.131123337,0.10656458,0.117598272,0.18949906,0.262858104,0.224884953,0.070623128,0.274879261,0.182224264,0.225280411,0.204246124,0.088197507,0.105734628,0.131007131,0.043657634,0.063686095,0.108799084,0.054371187
