gene_id,TCGA-2H-A9GF,TCGA-2H-A9GG,TCGA-2H-A9GH,TCGA-2H-A9GI,TCGA-2H-A9GJ,TCGA-2H-A9GK,TCGA-2H-A9GL,TCGA-2H-A9GM,TCGA-2H-A9GN,TCGA-2H-A9GO,TCGA-2H-A9GQ,TCGA-2H-A9GR,TCGA-IC-A6RE,TCGA-IC-A6RF,TCGA-IG-A3I8,TCGA-IG-A3QL,TCGA-IG-A3Y9,TCGA-IG-A3YA,TCGA-IG-A3YB,TCGA-IG-A3YC,TCGA-IG-A4P3,TCGA-IG-A4QS,TCGA-IG-A4QT,TCGA-IG-A50L,TCGA-IG-A51D,TCGA-IG-A5B8,TCGA-IG-A5S3,TCGA-IG-A625,TCGA-IG-A6QS,TCGA-IG-A7DP,TCGA-IG-A8O2,TCGA-IG-A97H,TCGA-IG-A97I,TCGA-JY-A6F8,TCGA-JY-A6FA,TCGA-JY-A6FB,TCGA-JY-A6FD,TCGA-JY-A6FE,TCGA-JY-A6FG,TCGA-JY-A6FH,TCGA-JY-A938,TCGA-JY-A939,TCGA-JY-A93C,TCGA-JY-A93D,TCGA-JY-A93E,TCGA-JY-A93F,TCGA-KH-A6WC,TCGA-L5-A43C,TCGA-L5-A43E,TCGA-L5-A43H,TCGA-L5-A43I,TCGA-L5-A43J,TCGA-L5-A43M,TCGA-L5-A4OE,TCGA-L5-A4OF,TCGA-L5-A4OG,TCGA-L5-A4OH,TCGA-L5-A4OI,TCGA-L5-A4OJ,TCGA-L5-A4OM,TCGA-L5-A4ON,TCGA-L5-A4OO,TCGA-L5-A4OP,TCGA-L5-A4OQ,TCGA-L5-A4OR,TCGA-L5-A4OS,TCGA-L5-A4OT,TCGA-L5-A4OU,TCGA-L5-A4OW,TCGA-L5-A4OX,TCGA-L5-A88S,TCGA-L5-A88T,TCGA-L5-A88V,TCGA-L5-A88W,TCGA-L5-A88Y,TCGA-L5-A88Z,TCGA-L5-A891,TCGA-L5-A893,TCGA-L5-A8NE,TCGA-L5-A8NF,TCGA-L5-A8NG,TCGA-L5-A8NH,TCGA-L5-A8NI,TCGA-L5-A8NJ,TCGA-L5-A8NK,TCGA-L5-A8NL,TCGA-L5-A8NM,TCGA-L5-A8NN,TCGA-L5-A8NQ,TCGA-L5-A8NR,TCGA-L5-A8NS,TCGA-L5-A8NT,TCGA-L5-A8NU,TCGA-L5-A8NV,TCGA-L5-A8NW,TCGA-L7-A56G,TCGA-L7-A6VZ,TCGA-LN-A49K,TCGA-LN-A49L,TCGA-LN-A49M,TCGA-LN-A49N,TCGA-LN-A49O,TCGA-LN-A49P,TCGA-LN-A49R,TCGA-LN-A49S,TCGA-LN-A49U,TCGA-LN-A49V,TCGA-LN-A49W,TCGA-LN-A49X,TCGA-LN-A49Y,TCGA-LN-A4A1,TCGA-LN-A4A2,TCGA-LN-A4A3,TCGA-LN-A4A4,TCGA-LN-A4A5,TCGA-LN-A4A6,TCGA-LN-A4A8,TCGA-LN-A4A9,TCGA-LN-A4MQ,TCGA-LN-A4MR,TCGA-LN-A5U5,TCGA-LN-A5U6,TCGA-LN-A5U7,TCGA-LN-A7HV,TCGA-LN-A7HW,TCGA-LN-A7HX,TCGA-LN-A7HY,TCGA-LN-A7HZ,TCGA-LN-A8HZ,TCGA-LN-A8I0,TCGA-LN-A8I1,TCGA-LN-A9FO,TCGA-LN-A9FP,TCGA-LN-A9FQ,TCGA-LN-A9FR,TCGA-M9-A5M8,TCGA-Q9-A6FU,TCGA-Q9-A6FW,TCGA-R6-A6DN,TCGA-R6-A6DQ,TCGA-R6-A6KZ,TCGA-R6-A6L4,TCGA-R6-A6L6,TCGA-R6-A6XG,TCGA-R6-A6XQ,TCGA-R6-A6Y0,TCGA-R6-A6Y2,TCGA-R6-A8W5,TCGA-R6-A8W8,TCGA-R6-A8WC,TCGA-R6-A8WG,TCGA-RE-A7BO,TCGA-S8-A6BV,TCGA-S8-A6BW,TCGA-V5-A7RB,TCGA-V5-A7RC,TCGA-V5-A7RC,TCGA-V5-A7RE,TCGA-V5-AASV,TCGA-V5-AASW,TCGA-V5-AASX,TCGA-VR-A8EO,TCGA-VR-A8EP,TCGA-VR-A8EQ,TCGA-VR-A8ER,TCGA-VR-A8ET,TCGA-VR-A8EU,TCGA-VR-A8EW,TCGA-VR-A8EX,TCGA-VR-A8EY,TCGA-VR-A8EZ,TCGA-VR-A8Q7,TCGA-VR-AA4D,TCGA-VR-AA4G,TCGA-VR-AA7B,TCGA-VR-AA7D,TCGA-VR-AA7I,TCGA-X8-AAAR,TCGA-XP-A8T6,TCGA-XP-A8T8,TCGA-Z6-A8JD,TCGA-Z6-A8JE,TCGA-Z6-A9VB,TCGA-Z6-AAPN,TCGA-ZR-A9CJ
A2M,10403.1855,19398.6373,9391.5247,5732.1918,4845.0854,28096.1997,24093.1146,14376.0126,20618.1149,2743.3518,14528.9427,23163.3138,24861.2174,5565.1587,4518.911,3602.5326,11523.1022,17797.9149,16243.8392,10342.3175,9798.4494,4485.9718,17806.2667,5180.8986,8742.5157,670.5213,13631.0004,8584.4815,1963.2022,40329.5059,6121.1723,1008.4944,4463.2959,4838.2429,3184.7716,11224.3526,3483.2123,4175.0574,1018.1945,2052.8312,14190.1968,25543.5672,21827.8561,57867.4837,25245.8631,902.2433,3747.9989,21068.5035,4167.8396,5442.7364,5216.0666,4125.9354,10003.0869,8040.0416,12333.8548,7622.2158,4447.6123,3725.5677,4280.9403,6527.5182,8509.8721,26109.7044,6856.9606,12616.457,9833.5667,23305.7629,26571.267,24377.4272,7229.5604,8504.0251,61909.7172,24698.0575,5762.5938,2984.7996,19297.9838,4179.8555,4456.2445,11616.6349,4182.6599,8774.257,27130.6676,7887.5707,20435.7202,2295.3573,7048.6898,37807.5639,4290.0341,11321.7842,16846.9942,8045.4095,34049.9635,38007.0449,58408.4805,37701.3661,14724.5968,19276.101,5739.933,15535.9963,9240.4292,6004.2449,14188.092,5573.5258,17436.2838,7619.1772,3706.197,2391.559,2846.4797,16377.3143,15180.691,7259.0238,3135.4309,4170.4114,2204.4754,5684.3292,29055.1341,2470.0585,8607.1468,7712.2899,4832.632,13683.505,3658.4051,4139.4012,2300.6355,3042.0806,5417.14,3386.9136,12852.8477,5176.1767,2071.4847,2105.4672,3196.1572,8246.5877,72638.7316,9004.7195,5707.9491,6234.1455,4159.4419,12386.9162,4211.4007,15865.2826,21172.2469,2169.4276,14625.0676,4388.6122,580.8982,5891.0229,20147.112,11100.4182,7353.302,3408.8074,7749.3141,5924.9749,18969.0518,3093.0677,4794.8886,12218.0986,3724.4739,2341.1756,2279.44,2358.7093,11770.0224,3130.9271,3457.0858,3995.0823,3500.6809,745.3911,4211.6318,2466.7109,982.3244,1660.8672,5441.7248,2388.9576,1370.7092,5501.9523,7339.3809,3409.5642,10613.8359,26204.1114,13640.2488,2763.7328,8109.0146,3611.3987,1697.1405,2229.6802,19425.3901
ABCB1,116.7264,498.9518,116.0844,46.8133,44.2073,254.802,155.5556,108.8977,168.088,12.2608,39.117,164.2228,180.5383,61.0858,117.3211,11.7177,43.5484,169.6456,62.4976,93.253,168.5551,43.6791,257.9403,13.7988,25.3199,4.8217,163.0634,94.3473,4.3419,320.6751,50.8777,0.7987,15.02,19.2937,16.6374,35.1611,178.6453,6.9424,5.7643,15.5465,205.4381,225.7115,160.7949,569.5045,304.6197,2.0155,89.5544,134.1239,37.8151,77.4669,47.6698,25.8462,132.9004,130.4468,129.4672,76.9856,55.8659,31.6036,36.6941,31.5152,72.2166,344.0252,72.2994,1501.3235,90.8638,153.9232,226.1455,206.5216,79.0639,111.1111,75.7244,97.4755,31.181,2.1251,194.9994,50.8954,20.1909,116.8746,23.3825,179.9911,281.0481,73.4908,145.9368,14.5869,92.7368,540.5556,106.7071,521.6704,43.9306,87.6306,444.6258,344.012,513.8604,238.6157,171.0598,80.5585,33.4879,95.4928,37.7252,13.7139,148.4092,14.2227,154.4691,23.5875,60.0793,3.6397,8.9533,86.8782,81.3936,54.3539,5.2006,7.3787,35.8031,35.4091,74.4567,7.8749,41.9246,25.7353,17.7187,46.7569,42.0298,9.4962,9.4044,14.3914,77.389,9.6357,60.4857,92.5461,5.9299,6.12,40.685,124.5865,293.0254,112.0383,19.017,69.2527,24.8036,148.7944,20.9231,130.553,211.8751,59.1977,72.1371,10.4475,0.4606,84.5643,71.82,67.5988,41.1281,67.8164,140.0949,20.5344,192.9005,11.7032,55.5721,16.1062,13.7512,14.6951,31.2,21.512,113.436,11.7409,44.4399,18.2254,6.5034,5.4279,5.1452,13.9069,5.7781,4.4519,30.4587,18.3767,13.5798,72.2695,73.8657,11.5573,76.524,226.5383,61.4765,31.4989,33.0311,14.6465,22.7425,23.4861,48.9878
ABCC1,2484.5126,1727.4633,1466.1572,1904.0086,2833.2317,2441.6712,1922.3986,1445.5511,2167.9735,1597.2165,1960.1084,2689.7764,2380.1242,5025.289,5707.1214,18699.0679,3213.7097,12180.1084,3205.9392,2227.7981,10247.2315,3009.1387,2547.3211,25636.4682,5145.9298,2370.668,6349.2122,35277.4298,3852.3745,1859.8067,16848.557,7313.4984,7129.4088,1957.8524,13355.6899,2996.123,3659.5815,2542.8599,2528.8729,1047.2425,1820.7452,1576.5456,2376.6938,2391.713,1927.058,1419.3288,5369.5659,2562.9075,2397.7591,12240.9426,2829.5606,3112.6154,4848.4482,2799.3339,1798.6617,2798.9752,3576.8764,1030.4331,2031.2832,6457.2727,1428.7864,2038.0503,2505.5288,2374.3793,3383.6257,1551.586,2123.4088,2426.6287,3256.4832,5194.7115,4094.8092,3314.1655,1692.8808,3575.8956,2031.2821,22586.8677,1550.6608,2474.7209,4948.8925,2873.0992,2456.2096,1692.9134,1348.5442,2321.1396,3733.94,4016.7096,1787.0405,1117.6843,4128.3237,2530.5022,4536.661,2067.0659,2172.9979,2423.4973,4197.1853,5659.5059,2403.9155,35114.4739,3800.0791,3473.7681,4388.2268,6347.6035,11256.0853,18608.6122,3022.2629,15225.6597,1112.852,4094.4484,14482.2134,1934.5535,4660.104,13167.8042,4270.5122,5491.802,4181.7138,9515.1644,5574.7472,1492.1218,23778.1469,4543.1535,12158.0191,7237.1406,16512.6817,3982.7303,12570.6595,12454.3812,2747.4614,24827.8894,22888.1477,13252.55,22646.0239,3348.9526,8064.9615,34831.6946,6817.1445,2870.4919,3454.9401,2310.9137,1140.9266,3202.7803,3289.6589,2019.5695,2027.9531,2930.5241,2929.9862,2191.6544,2434.4488,2107.234,2408.9307,1635.4867,1672.7472,2164.5082,1751.0509,14746.7629,1469.5394,25699.7987,20948.513,5326.3777,6286.4,2386.6011,3444.6638,9698.3806,6076.9936,1831.8145,11599.0819,3756.9061,4800.8085,19585.3816,3200,11387.9857,17515.5963,2370.1889,2342.8895,4209.6141,3681.8393,5834.5421,3332.3606,2113.441,16985.8201,23415.6408,3203.7092,1786.4956,16962.2074,2208.8285,1391.5424
ABCC5,448.3208,1547.5891,1189.5924,394.6843,3640.5488,2001.5193,1848.6772,864.8738,1071.4856,844.0063,1236.6383,1124.0568,544.0994,3011.4186,1676.0541,4152.0639,1017.7419,6523.0118,3942.6537,2070.5325,20201.9949,1959.6588,812.7473,7002.2177,2276.6131,1322.7524,1248.4427,41769.4998,2101.1307,725.7384,13267.4799,2561.5016,4863.7871,266.2073,25922.402,539.4222,1367.298,1067.2066,970.0463,713.5295,769.7519,1025.5152,1804.878,1294.6095,1149.0101,2127.1793,2526.8304,632.467,993.3473,31871.5758,3020.506,4138.7692,1359.8127,1346.6556,1532.1933,608.3859,1199.9028,870.4643,1410.9774,10958.1818,1353.8114,1532.7044,2296.2858,652.3308,1915.5019,854.424,983.3166,1493.2409,975.0158,594.0171,943.4231,2003.8569,615.6181,1261.9915,843.4753,19761.8599,545.1542,1172.0289,1077.1137,877.5456,1236.8988,671.0411,383.4957,1786.8946,1904.4594,2043.0272,512.9216,1270.484,1597.6879,691.9447,1378.7947,811.976,763.8604,1777.3224,2071.0676,1881.4894,1056.9294,13715.4784,977.6924,1652.0491,7178.9823,890.3428,5630.0588,9139.605,4506.2519,2049.1356,2828.4226,2426.46,1169.9605,8006.6556,3395.2452,5088.606,3340.0298,7795.8587,1955.5556,3008.8326,2915.5991,3593.4874,26719.8228,2543.8566,7346.0943,8327.3543,11454.8304,1389.3914,10383.5801,3546.8232,1124.5033,14201.8425,12134.3118,6519.3798,2419.7865,2042.9989,4734.9904,13255.5565,4470.7431,713.4932,9884.2497,842.6396,344.0011,787.5491,1143.115,1178.0822,438.2326,1065.9934,1013.3579,1472.6736,808.0983,756.231,1483.8425,680.2105,1774.5348,561.8948,2651.0976,11458.9143,1255.8692,18695.101,22153.182,1153.5636,1244,667.1789,911.6989,1763.9676,3008.453,923.741,9793.0375,1066.5891,2132.3043,18185.6404,3278.2666,2766.0059,5011.3761,658.295,452.2822,5914.6501,2815.9984,1807.8896,2569.7147,412.8567,7661.8791,7595.945,1021.2353,2945.4456,19980.2676,1113.7521,595.058
ACTB,184448.3208,84498.5325,105377.7293,110817.4969,93514.6341,154794.5741,91121.6931,132884.4622,80709.0421,212771.4357,85516.2665,147103.8342,111309.7308,109895.0613,103304.3395,100897.7364,236754.8387,156316.8711,85332.7525,147480.7863,166320.8993,140731.1534,221075.393,134585.6263,193966.5124,273031.8433,97457.3104,70758.1944,140042.3338,147949.3671,122279.9762,197375.7987,209542.3771,111383.9793,92647.2997,120939.2007,182138.4501,232161.2496,147470.0978,94335.9914,123723.5192,97260.0589,88105.6911,86917.1101,90630.7746,229197.6217,158062.6675,191338.1909,101772.7591,132668.0412,83439.4141,165228,123745.979,268194.2825,123991.4746,188719.1152,135598.7369,150267.6551,170831.6467,82065.7576,138265.7974,124502.8302,107848.313,152881.0185,100414.8291,137421.3689,84929.0694,149078.5096,167819.1018,99693.109,221608.7726,159011.5708,171516.5563,290050.6982,161637.1732,93973.2956,114314.2438,158911.0309,128785.0814,85054.691,89182.3403,157887.4307,112357.9293,157517.037,127284.2611,116947.1559,139230.9208,83892.7555,220798.8439,110579.7101,78560.0266,128399.1018,160550.8214,146572.4044,107054.1949,156845.3276,133960.0721,117309.2427,137319.0264,208583.639,130496.4245,147331.2473,112495.7157,110795.9408,90060.0793,148515.0136,59656.9266,191524.5133,163551.1638,176064.3372,207781.575,147422.4928,148671.1089,126559.9261,136168.5937,153876.982,102130.7999,105253.1513,65348.8372,191115.486,96053.7591,149287.7869,118729.2676,178469.1612,124828.3984,167929.2382,206019.426,112405.7789,127937.1433,157627.499,161681.5482,141932.194,192151.4265,98338.5937,127104.447,103597.248,115944.1918,189099.9365,154997.4,137226.9568,100433.1348,136664.8728,226817.8539,223269.3714,106061.2621,224995.938,144892.0534,123119.5137,114238.5429,98618.8308,92601.6053,183264.0299,138671.1817,130405.6275,120083.5067,107954.9623,149384.0742,174352.388,152956,101014.7511,132538.4919,140865.1822,90336.2094,144018.8649,118976.2816,275372.2981,221099.2282,153676.2613,194348.5227,151262.9349,131150.4587,262582.1337,132292.7197,107610.5298,147901.9485,130356.271,177594.6822,147122.0351,126726.1916,114046.3432,200980.6283,125991.6891,93919.7324,245310.6961,235248.181
ADAMTS16,19.5631,11.3208,9.4614,0,1.2195,4.7748,11.9929,10.6242,52.1133,1.9882,30.5964,10.8194,38.5093,3.3625,3.4901,51.9308,17.4731,68.2568,32.1958,76.262,12.9337,5.3123,11.5496,47.9671,56.0849,0,33.712,76.4538,1.8091,51.7218,5.3555,2.3962,50.4673,3.4453,10.6583,7.1466,0.9925,0.3857,1.6469,2.1443,3.662,13.739,37.3382,111.6339,61.1323,0.8062,0.4108,19.6663,3.1513,26.8041,1.3316,53.2308,26.278,4.1632,4.5601,0.9998,10.4445,7.4132,3.7859,13.3333,13.7914,121.0692,3.1188,25.157,8.6236,14.3573,103.7078,26.0397,21.5054,4.2735,276.1377,29.8036,19.5916,1.5179,6.3934,5.0267,10.279,4.9245,1.5183,6.0471,75.0179,8.1656,18.1049,0.9117,5.5247,52.6352,12.7321,1.2654,4.6243,41.456,51.7403,100.5988,60.5749,3.1876,74.3333,7.8768,2.0608,16.9591,14.2317,2.2325,221.3701,1.7067,14.8886,84.7504,4.8795,95.8447,9.3602,276.496,147.2698,42.7066,32.318,52.6348,4.7737,140.4049,359.1636,39.1614,208.8875,16.2815,8.4902,37.6165,15.639,129.7811,5.4146,15.2138,250.3365,10.8401,705.9603,132.7471,8.0053,34.6797,19.3738,25.3583,262.5959,73.0397,220.3043,9.2125,9.0947,18.401,4.6154,17.2257,58.4732,0.9785,11.7223,3.1343,0,1.4771,10.4015,3.8906,0.5875,5.2616,4.0131,4.2002,4.6707,141.6833,6.2407,14.0183,17.2689,1.1756,20.8,14.4438,9.2117,4.4534,82.9335,1.9185,25.6312,21.7117,15.068,14.8771,0.5253,2.0547,80.7339,24.9107,1.5089,69.3264,72.5652,14.8594,27.8859,14.0942,25.6152,4.3447,59.0923,103.652,14.0468,2.5467,153.8794
ADAMTS1,1015.6505,1392.8721,488.3552,372.4883,1034.7561,2073.5757,2382.0106,1231.4077,1013.9501,615.3591,1696.3594,975.2903,1192.1325,758.2487,486.7349,1928.6285,1385.7527,1598.306,580.281,912.3778,1443.5659,557.2042,1859.0525,1427.1869,827.9336,90.005,1674.9725,1973.1598,258.7065,1803.7294,1105.9209,271.5655,335.8479,285.0416,440.1118,812.7066,504.5075,2240.8639,72.877,151.7121,666.4836,1505.3974,889.4911,3075.2558,1290.7259,171.3192,219.778,2743.8371,363.7955,1790.2798,728.8948,5339.0769,976.2138,1034.6933,2621.0657,647.8785,293.6604,172.064,334.6157,345.4545,888.666,1334.9057,889.708,1582.482,444.8541,3001.0017,2684.9572,2381.2838,552.8147,1950.5876,3001.6454,1377.6297,248.3444,408.3182,1583.7424,1284.323,138.0323,1537.7544,225.3223,1092.7523,2525.4846,1114.0274,879.7358,101.6524,952.6243,5430.3419,326.7905,627.0168,1233.526,211.3246,987.0464,4325.4491,3332.1355,1563.2969,1933.9087,1334.7655,356.5173,3277.2813,437.5671,431.5101,1755.0005,2481.0127,847.7192,577.6193,197.3163,1226.5696,275.5168,1760.995,4825.9406,499.1681,478.0832,3028.2236,333.7643,427.6807,3375.4818,492.4976,768.3727,772.0588,1228.1285,1188.9612,576.3623,261.4086,667.4266,591.2829,750.6729,239.6868,1149.2274,485.7621,1075.6801,723.7862,595.7441,454.2448,14868.7866,854.6641,1325.0439,384.3842,1309.2187,749.3655,310.7702,1421.8797,420.8627,180.0391,490.532,112.833,115.1543,421.3442,1525.5549,546.8693,338.7192,93.8322,476.4684,391.5529,1618.4026,862.0518,241.9019,304.5261,296.1305,190.7421,3798.8,149.0473,322.9372,676.1134,604.0065,185.4516,1003.0604,141.9017,263.8736,450.5175,152.8562,1299.6153,391.5596,190.7095,188.2309,757.0307,1643.511,1023.8811,896.8872,1397.7312,3806.0562,452.9327,1347.0003,746.2196,568.2274,385.6819,1470.4992
ADCY1,30.9749,1140.4612,24.3814,25.4244,42.6829,139.7721,707.231,196.2151,674.1593,30.8177,48.4121,66.8483,158.5921,38.669,86.4471,47.1372,502.1505,152.4569,164.7665,63.2224,164.8001,21.2493,78.2804,119.9179,20.6915,19.6886,522.5357,73.8512,118.3175,55.5329,24.1,247.6038,123.7651,33.5343,393.579,81.7566,54.2552,21.213,12.352,9.6495,662.0892,60.3533,78.2897,113.0078,49.67,3.6279,34.0964,106.9845,15.056,52.43,30.0932,163.6923,52.5561,5.8285,103.2962,42.492,29.1474,21.8494,29.996,60.6061,71.4644,88.3648,22.6822,56.6578,55.5279,234.0568,68.6761,47.5898,32.8906,42.2009,102.4841,235.6241,31.457,69.2168,160.7489,92.994,14.3172,53.1845,36.7439,22.41,179.8277,74.0741,235.9129,12.3077,142.8542,195.2238,17.5824,393.8627,320.2312,18.2002,246.193,178.4431,330.0821,183.0601,67.8019,334.7655,36.5791,77.751,16.7166,24.2386,51.197,553.5486,80.9567,66.6484,59.1644,41.8562,844.2536,134.8234,71.7318,57.127,29.7177,75.0169,55.2959,963.1283,296.187,138.7677,32.8532,33.6134,215.2086,67.4987,108.4956,348.4569,56.7113,52.6316,143.6743,52.695,239.2936,29.3132,279.0008,39.9837,132.2261,95.3693,249.0716,134.8426,91.574,18.7427,20.463,44.4162,24.6155,96.1015,105.3961,143.3464,196.5735,28.5565,6.9093,80.1329,168.4054,88.997,68.7427,33.0313,39.7665,15.8675,76.1326,46.5637,36.2556,217.7317,304.4452,19.9853,74.4,27.6583,120.5422,29.1498,24.7236,11.191,54.7054,8.9173,40.7938,38.163,60.4071,11.9859,75.9633,44.9209,15.8431,53.3028,345.1399,186.8035,21.725,114.8161,80.8709,96.307,68.4864,52.9527,147.1572,81.777,65.9895
ADH1B,43.3649,322.0126,64.4105,3.2285,8.8415,2.1704,77.9541,22.2444,0.3012,10.9353,16.2665,236.0944,1517.5983,381.6462,8.8595,2.6631,8.871,226.1942,444.6801,117.7517,135.5951,26.5616,1759.384,2.9569,53.0901,1.6072,373.0304,194.876,0.3618,1327.8889,45.5222,2.3962,2.4032,6.4312,12.738,0,7.2781,0.3857,0,8.8454,81.6625,651.6192,123.7579,1880.2581,211.8791,0,217.3132,2.7533,22.7591,23.5641,35.4194,0.6154,63.4297,3.8857,75.1425,7.2486,10.9303,7.023,3.4947,105.7576,3.7613,131.1321,9.6399,7.219,11.358,36.394,276.7854,963.0192,19.6078,20.8333,415.63,1406.0309,4.9669,0,18.2669,6.5975,1.1013,360.4728,0,195.2868,202.0818,16.6229,3.5661,10.9402,453.4239,239.2258,3.3346,166.0867,295.9538,2.0222,25.5859,979.0419,439.9384,573.7705,46.6527,3.2223,7.9856,229.6002,5.8734,0,69.8518,0,70.7208,12.068,87.2217,0.9099,0,19.827,14.3464,19.9667,0.3715,0.4919,9.1497,1.8474,284.0508,2.3412,5.1486,3.6765,100.4061,1.0547,40.7266,7.6497,0,4.1118,1.0094,0,131.5673,2.5126,3.5579,0,1.9374,13.2304,2591.021,4.9574,7.0217,30.8143,4.5473,77.7284,0.6154,95.7993,117.6683,5.3816,1.8034,1.0448,2.3031,20.6795,20.5554,26.7477,0.5875,0,18.6063,1.4001,105.0911,0,8.321,371.6352,0.6396,6.4658,1.6,1.5366,32.1095,1.6194,5.6332,0.6395,0.7651,0.3877,24.9908,0.9702,11.5561,0,0,1.2251,1.8861,0.327,7.0224,0,1.6213,199.3812,423.383,0.3621,29.3946,1.8778,21.4047,0,17.0017
AGTR1,6.521,723.2704,1.4556,0,0.9146,0.4341,2.4691,0.664,1.8074,1.9882,7.3586,4.6369,24.4306,9.8074,3.2216,15.4461,28.2258,62.7764,26.1354,42.28,6.6754,0.5903,49.6204,41.7248,17.6967,6.0271,10.6266,3.5787,4.7038,21.7776,13.6864,1.1981,16.522,1.6078,0.26,0.5717,0.3308,1.5428,2.0587,93.5469,3.662,16.683,0.3011,31.9445,32.3029,1.2093,5.3404,16.913,0.7003,8.8365,1.0652,4,2.4164,1.9428,29.3432,0.7499,0.9716,0,0.8737,3.6364,1.003,30.8176,4.5364,4.5939,0.631,18.0301,5.8964,27.8355,2.53,0,58.0743,40.3226,1.9316,1.2143,0.9133,2.5134,12.4816,8.5358,0.3037,2.1343,3.9483,0,52.3946,0.4558,14.2065,20.33,0.6063,79.7216,13.8728,9.7742,6.8229,32.6347,9.2402,1.8215,10.8856,0.358,0,15.6546,5.8734,15.9464,84.9829,2.2756,34.1197,35.9298,6.7094,67.9406,5.2906,35.6885,58.8494,16.0843,15.6018,27.3012,7.5584,42.491,92.1689,12.1315,10.5424,11.5546,10.7051,22.4996,12.3809,20.0475,0.285,2.8783,36.0027,15.3568,27.8146,19.263,0.593,13.8719,0,22.0507,200.234,17.5163,29.5494,1.906,8.888,95.1777,0.6154,3.3243,1.4438,1.4677,0,2.0895,0.4606,0.7386,1.4859,4.3769,0.8813,0,5.1076,0.4667,2.3354,137.2012,0,20.8784,6.0761,0,0.8,0.3073,0,2.834,0.9389,0,14.5371,15.8961,4.4101,0.3234,0,4.4519,22.3853,6.1256,0,16.0235,31.4709,7.5476,21.725,6.1877,24.8834,0.3621,23.6369,86.0012,2.0067,6.7912,27.6637
