id,cui,name,semtypes,text,entrezID,entrezName
D10029060.E1,C0026882,Mutation,genf,Mutational,,
D10029060.E2,C0544461,inactivation,ftcn,inactivation,,
D10029060.E3,C2752147,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C","cgab,dsyn",xeroderma pigmentosum group C,,
D10029060.E4,C0017337,Genes,gngm,gene,,
D10029060.E5,C0220898,Predisposition,orga,predisposition,,
D10029060.E6,C0000248,2-Acetylaminofluorene,"hops,irda,orch",2-acetylaminofluorene,,
D10029060.E7,C0205263,Induce (action),ftcn,induced,,
D10029060.E8,C0023884,Liver,bpoc,liver,,
D10029060.E9,C0242379,Malignant neoplasm of lung,neop,lung cancer,,
D10029060.E10,C0205359,Spontaneous,ftcn,spontaneous,,
D10029060.E11,C0153594,Malignant neoplasm of testis,neop,testicular cancer,,
D10029060.E12,C0079419,TP53 gene,gngm,Trp53,7157,TP53
D10029060.E13,C0026809,Mus,mamm,mice,,
D10029060.E14,C0026809,Mus,mamm,Mice,,
D10029060.E15,C0086418,Homo sapiens,humn,human,,
D10029060.E16,C1333600,Hereditary Malignant Neoplasm,neop,hereditary cancer-,,
D10029060.E17,C0332452,defective,ftcn,defective,,
D10029060.E18,C0268134,DNA Repair-Deficiency,patf,DNA repair-defective disease,,
D10029060.E19,C0043346,Xeroderma Pigmentosum,cgab,xeroderma pigmentosum,,
D10029060.E20,C0205250,High,qlco,highly,,
D10029060.E21,C1275046,Radiation-induced skin malignancy,neop,radiation-induced skin cancer,,
D10029060.E22,C1518422,Negation,ftcn,not,,
D10029060.E23,C0043346,Xeroderma Pigmentosum,cgab,XP,,
D10029060.E24,C0026809,Mus,mamm,mice,,
D10029060.E25,C0086418,Homo sapiens,humn,humans,,
D10029060.E26,C0006826,Malignant Neoplasms,neop,cancers,,
D10029060.E27,C0040300,Body tissue,tisu,tissues,,
D10029060.E28,C0007091,"Carcinogens, Environmental",hops,environmental carcinogens,,
D10029060.E29,C0524550,Nucleotide Excision Repair,genf,nucleotide excision repair,,
