P_id,Proof,P_name,P_type,P_raw,S_id,S_name,S_cui_entrezid,S_SMTY,S_raw,O_id,O_name,O_cui_entrezid,O_SMTY,O_raw
D10029060.P1,Mutational inactivation of the xeroderma pigmentosum group C gene confers       predisposition to 2-acetylaminofluorene-induced liver and lung cancer and to       spontaneous testicular cancer in Trp53-/- mice.,PROCESS_OF,PREP,in ,D10029060.E11,Malignant neoplasm of testis,C0153594,neop,testicular cancer,D10029060.E13,Mus,C0026809,mamm,mice
D10029060.P2,Mutational inactivation of the xeroderma pigmentosum group C gene confers       predisposition to 2-acetylaminofluorene-induced liver and lung cancer and to       spontaneous testicular cancer in Trp53-/- mice.,PROCESS_OF,PREP,in ,D10029060.E9,Malignant neoplasm of lung,C0242379,neop,lung cancer,D10029060.E13,Mus,C0026809,mamm,mice
D10029060.P3,Mutational inactivation of the xeroderma pigmentosum group C gene confers       predisposition to 2-acetylaminofluorene-induced liver and lung cancer and to       spontaneous testicular cancer in Trp53-/- mice.,PROCESS_OF,PREP,in ,D10029060.E3,"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C",C2752147,dsyn,xeroderma pigmentosum group C,D10029060.E13,Mus,C0026809,mamm,mice
D10029060.P4,Mice that are genetically engineered to mimic the human hereditary cancer-prone       DNA repair-defective disease xeroderma pigmentosum (XP) are highly predisposed to       UV radiation-induced skin cancer.,ISA,MOD_HEAD,DNA repair-defective disease xeroderma pigmentosum ,D10029060.E19,Xeroderma Pigmentosum,C0043346,cgab,xeroderma pigmentosum,D10029060.E18,DNA Repair-Deficiency,C0268134,patf,DNA repair-defective disease
D10029060.P5,"It is not clear, however, whether XP mice or       humans are predisposed to cancers in other tissues associated with exposure to       environmental carcinogens.",LOCATION_OF,PREP,in ,D10029060.E27,Body tissue,C0040300,tisu,tissues,D10029060.E26,Malignant Neoplasms,C0006826,neop,cancers
D10029060.P6,"To test the importance of nucleotide excision repair       in protection against chemical carcinogenesis in internal organs, we treated XPC        mutant (XPC-/-) mice with 2-acetylaminofluorene and NOH-2-acetylaminofluorene.",LOCATION_OF,PREP,in ,D10029060.E33,Organ,C0178784,bpoc,organs,D10029060.E31,Chemical Carcinogenesis,C0596321,neop,chemical carcinogenesis
D10029060.P7,"To test the importance of nucleotide excision repair       in protection against chemical carcinogenesis in internal organs, we treated XPC        mutant (XPC-/-) mice with 2-acetylaminofluorene and NOH-2-acetylaminofluorene.",PREVENTS,NOM,protection ,D10029060.E34,XPC gene,7508,aapp,XPC,D10029060.E31,Chemical Carcinogenesis,C0596321,neop,chemical carcinogenesis
D10029060.P8,"We       observed a significantly higher incidence of chemically induced liver and lung       tumors in XPC-/- mice compared with normal and heterozygous littermates In       addition, the progression of liver tumors in XPC-/- Trp53+/- mice is accelerated        compared with XPC-/- Trp53+/+ animals.",PROCESS_OF,PREP,in ,D10029060.E44,Lung Neoplasms,C0024121,neop,lung       tumors,D10029060.E46,Mus,C0026809,mamm,mice
D10029060.P9,"We       observed a significantly higher incidence of chemically induced liver and lung       tumors in XPC-/- mice compared with normal and heterozygous littermates In       addition, the progression of liver tumors in XPC-/- Trp53+/- mice is accelerated        compared with XPC-/- Trp53+/+ animals.",PROCESS_OF,PREP,in ,D10029060.E50,Liver neoplasms,C0023903,neop,liver tumors,D10029060.E53,Mus,C0026809,mamm,mice
D10037274.P1,PURPOSE: To study the relationship between intercellular adhesion molecule 1       (ICAM-1) and liver cancer metastasis and to find predicting factors that could       indicate the growth and metastasis of liver cancer.,PREDISPOSES,ADJ,predicting ,D10037274.E6,Intercellular adhesion molecule 1,C0063695,aapp,intercellular adhesion molecule 1,D10037274.E7,Secondary malignant neoplasm of liver,C0494165,neop,liver cancer metastasis
D10037274.P2,PURPOSE: To study the relationship between intercellular adhesion molecule 1       (ICAM-1) and liver cancer metastasis and to find predicting factors that could       indicate the growth and metastasis of liver cancer.,PREDISPOSES,ADJ,predicting ,D10037274.E6,Intercellular adhesion molecule 1,C0063695,aapp,intercellular adhesion molecule 1,D10037274.E10,Secondary Neoplasm,C2939419,neop,metastasis
D10037274.P3,METHODS: ICAM-1 expression in       fresh tissue of normal liver and hepatocellular cancer (HCC) was examined by       immunoperoxidase staining.,PART_OF,NOM,expression ,D10037274.E13,Intercellular adhesion molecule 1,C0063695,aapp,ICAM-1,D10037274.E14,Fresh Tissue,C1519521,tisu,fresh tissue
D10037274.P4,"Serum soluble intercellular adhesion molecule 1       (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in        the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer       metastasis model, and in human hepatoma, the tumor surrounding tissue and normal        liver, was analyzed semiquantitatively by the immuno-dot blot method.",PROCESS_OF,MOD_HEAD,"human hepatoma,",D10037274.E32,Liver neoplasms,C0023903,neop,hepatoma,D10037274.E31,Homo sapiens,C0086418,humn,human
D10037274.P5,"Serum soluble intercellular adhesion molecule 1       (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in        the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer       metastasis model, and in human hepatoma, the tumor surrounding tissue and normal        liver, was analyzed semiquantitatively by the immuno-dot blot method.",PART_OF,MOD_HEAD,soluble intercellular adhesion molecule 1 ,D10037274.E20,Intercellular adhesion molecule 1,C0063695,aapp,intercellular adhesion molecule 1,D10037274.E19,soluble,C1749467,celc,soluble
D10037274.P6,"Serum soluble intercellular adhesion molecule 1       (sICAM-1) from patients with a benign HCC tumor, and the expression of ICAM-1 in        the orthotopically transplanted LCI-D20 tumor of a nude mouse liver cancer       metastasis model, and in human hepatoma, the tumor surrounding tissue and normal        liver, was analyzed semiquantitatively by the immuno-dot blot method.",PROCESS_OF,MOD_HEAD,"liver cancer       metastasis model,",D10037274.E29,Secondary malignant neoplasm of liver,C0494165,neop,liver cancer       metastasis,D10037274.E30,Mouse Model,C2986594,emod,mouse liver cancer       metastasis model
