,S_name,O_name,label,title,from,to,arrows,color,id
1,Intercellular adhesion molecule 1,Malignant neoplasm of liver,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10037274' target='_blank'>The ICAM-1       concentration in HCC (13.43+/-0.09) was higher than that in tumor surrounding the       liver (5.89+/-0.17, P < 0.01) and that in normal liver (4.27+/-0.21, P < 0.01).</br></a><font color='red'>ICAM-1</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",0,132,to,PREP,0
2,Intercellular adhesion molecule 1,Malignant neoplasm of liver,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10037274' target='_blank'>Northern blot analysis revealed that ICAM-1 expression, as indicated       by mRNA level, was also higher in HCC and in cancer emboli than in tumor       surrounding liver and normal liver.</br></a><font color='red'>ICAM-1</font> <font color='blue'>in </font> <font color='green'>HCC</font></p>",0,132,to,PREP,1
3,Hepatocarcinogenesis,DNA hypermethylation,AFFECTS,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10051471' target='_blank'>DNA hypermethylation at the D17S5 locus and reduced HIC-1 mRNA expression are       associated with hepatocarcinogenesis.</br></a><font color='red'>hepatocarcinogenesis</font> <font color='blue'>associated </font> <font color='green'>DNA hypermethylation</font></p>,1,133,to,VERB,2
4,Candidate Tumor Suppressor Gene,Liver and Intrahepatic Biliary Tract Carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10051471' target='_blank'>To examine the significance of aberrant DNA methylation in hepatocarcinogenesis,        the DNA methylation status at the D17S5 locus and mRNA expression of a candidate        tumor suppressor gene, HIC-1 (hypermethylated-in-cancer), which was identified at       the D17S5 locus, in primary hepatocellular carcinomas (HCCs) and their       corresponding noncancerous liver tissues were assessed.</br></a><font color='red'>candidate        tumor suppressor gene</font> <font color='blue'>in </font> <font color='green'>primary hepatocellular carcinomas</font></p>",2,134,to,PREP,3
5,Locus,Liver carcinoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10051471' target='_blank'>The incidence of DNA hypermethylation at this       locus was significantly higher in HCCs (90%) than noncancerous liver tissues (P       <.001).</br></a><font color='red'>locus</font> <font color='blue'>in </font> <font color='green'>HCCs</font></p>,3,106,to,PREP,4
6,TP53 gene,Liver carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10051471' target='_blank'>Moreover,       wild-type p53 did not overcome DNA hypermethylation at the D17S5 locus to       activate HIC-1 in HCCs.</br></a><font color='red'>p53</font> <font color='blue'>in </font> <font color='green'>HCCs</font></p>",4,106,to,PREP,5
7,"RNA, Messenger",Hepatoblastoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10076051' target='_blank'>HGFLP mRNA was also       found to be overexpressed in a hepatoblastoma sample and in a sample of subacute        fulminant hepatic necrosis.</br></a><font color='red'>mRNA</font> <font color='blue'>in </font> <font color='green'>hepatoblastoma</font></p>,5,135,to,PREP,6
8,multidrug resistance-associated protein 2,Neuroblastoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10081488' target='_blank'>Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.</br></a><font color='red'>cMOAT</font> <font color='blue'>in </font> <font color='green'>neuroblastomas</font></p>,6,136,to,PREP,7
9,multidrug resistance-associated protein 2,Malignant neoplasm of liver,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10081488' target='_blank'>Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.</br></a><font color='red'>cMOAT</font> <font color='blue'>in </font> <font color='green'>malignant liver       tumors</font></p>,6,132,to,PREP,8
10,Multidrug Resistance Associated Protein 1,Neuroblastoma,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10081488' target='_blank'>Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.</br></a><font color='red'>MRP</font> <font color='blue'>in </font> <font color='green'>neuroblastomas</font></p>,7,136,to,PREP,9
11,Multidrug Resistance Associated Protein 1,Malignant neoplasm of liver,ASSOCIATED_WITH,<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10081488' target='_blank'>Expression of MRP and cMOAT in childhood neuroblastomas and malignant liver       tumors and its relevance to clinical behavior.</br></a><font color='red'>MRP</font> <font color='blue'>in </font> <font color='green'>malignant liver       tumors</font></p>,7,132,to,PREP,10
12,multidrug resistance-associated protein 2,childhood hepatocellular carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10081488' target='_blank'>The       expression of MRP and cMOAT in the childhood liver tumors was more common and       higher, especially in advanced cases with a poor outcome, than that observed in       normal liver or in 9 hepatocellular carcinomas from adult patients.</br></a><font color='red'>cMOAT</font> <font color='blue'>in </font> <font color='green'>childhood liver tumors</font></p>",6,137,to,PREP,11
13,Multidrug Resistance Associated Protein 1,childhood hepatocellular carcinoma,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10081488' target='_blank'>The       expression of MRP and cMOAT in the childhood liver tumors was more common and       higher, especially in advanced cases with a poor outcome, than that observed in       normal liver or in 9 hepatocellular carcinomas from adult patients.</br></a><font color='red'>MRP</font> <font color='blue'>in </font> <font color='green'>childhood liver tumors</font></p>",7,137,to,PREP,12
14,WT-1,Neoplastic Cell Transformation,ASSOCIATED_WITH,"<p><a href='http://www.ncbi.nlm.nih.gov/pubmed/?term=10189890' target='_blank'>To determine the role of the Wilms' tumor gene WT1 in tumorigenesis of solid       tumors, expression of the WT1 gene was examined in 34 solid tumor cell lines       (four gastric cancer cell lines, five colon cancer cell lines, 15 lung cancer       cell lines, four breast cancer cell lines, one germ cell tumor cell line, two       ovarian cancer cell lines, one uterine cancer cell line, one thyroid cancer cell        line, and one hepatocellular carcinoma cell line) by means of quantitative       reverse transcriptase-polymerase chain reaction.</br></a><font color='red'>WT1</font> <font color='blue'>role </font> <font color='green'>tumorigenesis</font></p>",8,113,to,NOM,13
