"","name","cui","group","id","label"
"1","Intercellular adhesion molecule 1","C0063695","aapp",0,"Intercellular adhesion molecule 1"
"3","Hepatocarcinogenesis","C1512409","neop",1,"Hepatocarcinogenesis"
"4","Candidate Tumor Suppressor Gene","C1707257","gngm",2,"Candidate Tumor Suppressor Gene"
"5","Locus","C1708726","gngm",3,"Locus"
"6","TP53 gene","7157","gngm",4,"TP53 gene"
"7","RNA, Messenger","C0035696","bacs",5,"RNA, Messenger"
"8","multidrug resistance-associated protein 2","C0525410","aapp",6,"multidrug resistance-associated protein 2"
"10","Multidrug Resistance Associated Protein 1","C0906368","aapp",7,"Multidrug Resistance Associated Protein 1"
"14","WT-1","7490","gngm",8,"WT-1"
"15","solid tumor","C0280100","neop",9,"solid tumor"
"16","FUSE gene","2522","aapp",10,"FUSE gene"
"17","Autoantigens","C0004359","imft",11,"Autoantigens"
"18","APC gene","324","gngm",12,"APC gene"
"19","Tumor Suppressor Genes","C0079427","gngm",13,"Tumor Suppressor Genes"
"20","CTNNB1 gene","1499","gngm",14,"CTNNB1 gene"
"25","Hepatitis B Antigens","C0019165","imft",15,"Hepatitis B Antigens"
"26","Cytotoxic Chemotherapy","C0677881","topp",16,"Cytotoxic Chemotherapy"
"27","Signal Transduction Pathways","C0086982","moft",17,"Signal Transduction Pathways"
"28","Pathogenesis","C0699748","patf",18,"Pathogenesis"
"29","INSR protein, human","3643","aapp",19,"INSR protein, human"
"30","insulin receptor substrate 1 protein","3643","aapp",20,"insulin receptor substrate 1 protein"
"31","PROC wt Allele","324","gngm",21,"PROC wt Allele"
"34","Alkaloids","C0002062","orch",22,"Alkaloids"
"35","Berberine","C0005117","phsu",23,"Berberine"
"36","CA-19-9 Antigen","C0006613","imft",24,"CA-19-9 Antigen"
"37","Selectins","C0282651","aapp",25,"Selectins"
"38","Antigens","C0003320","imft",26,"Antigens"
"39","Glycoprotein 6-alpha-L-fucosyltransferase","146","aapp",27,"Glycoprotein 6-alpha-L-fucosyltransferase"
"41","","4609",NA,28,""
"43","SMAD4 gene","4089","gngm",29,"SMAD4 gene"
"44","SMAD2 gene","4087","gngm",30,"SMAD2 gene"
"46","Lung Neoplasms","C0024121","neop",31,"Lung Neoplasms"
"47","Growth Factor","C0018284","aapp",32,"Growth Factor"
"48","Oncogenes","C0029016","aapp",33,"Oncogenes"
"51","CDKN2A gene","1029","gngm",34,"CDKN2A gene"
"52","Transforming Growth Factor alpha","C0040688","aapp",35,"Transforming Growth Factor alpha"
"54","HRAS gene","3265","aapp",36,"HRAS gene"
"59","3-nitrotyrosine","C0047645","aapp",37,"3-nitrotyrosine"
"60","NOS2A protein, human","4843","aapp",38,"NOS2A protein, human"
"61","Oligodeoxyribonucleotides","C0028948","nnon",39,"Oligodeoxyribonucleotides"
"62","activin A","C0100748","aapp",40,"activin A"
"63","Aim","C2948600","phsu",41,"Aim"
"64","beta-Chemokines","C0282552","aapp",42,"beta-Chemokines"
"65","chemokine","C0282554","aapp",43,"chemokine"
"67","Chemokine (C-C Motif) Ligand 4","C0209338","aapp",44,"Chemokine (C-C Motif) Ligand 4"
"68","MDM2 gene","4193","gngm",45,"MDM2 gene"
"69","FHIT gene","2272","gngm",46,"FHIT gene"
"71","GAGE1 wt Allele","C3541244","gngm",47,"GAGE1 wt Allele"
"75","Genes, Neoplasm","C1567848","gngm",48,"Genes, Neoplasm"
"76","Exons","C0015295","bacs",49,"Exons"
"80","HPSE gene","10855","gngm",50,"HPSE gene"
"81","gene therapy","C0017296","topp",51,"gene therapy"
"82","Immunotherapy","C0021083","topp",52,"Immunotherapy"
"84","CYP1A1 gene","1543","gngm",53,"CYP1A1 gene"
"85","CYP1A1 protein, human","1543","aapp",54,"CYP1A1 protein, human"
"86","TMPRSS13 gene","84000","gngm",55,"TMPRSS13 gene"
"87","FOXD3 gene","27022","gngm",56,"FOXD3 gene"
"89","Open Reading Frames","C0079941","gngm",57,"Open Reading Frames"
"91","Carcinoembryonic Antigen","C0007082","aapp",58,"Carcinoembryonic Antigen"
"93","DNA, Complementary","C0006556","nnon",59,"DNA, Complementary"
"97","TSG101 gene","7251","gngm",60,"TSG101 gene"
"99","Osteonectin","C0029446","aapp",61,"Osteonectin"
"101","Proteins","C0033684","aapp",62,"Proteins"
"102","SPARC gene","6678","gngm",63,"SPARC gene"
"104","Ethanol Ablation Therapy","C1880568","topp",64,"Ethanol Ablation Therapy"
"105","Therapeutic procedure","C0087111","topp",65,"Therapeutic procedure"
"107","Epidermal Growth Factor Receptor","1956","aapp",66,"Epidermal Growth Factor Receptor"
"116","MYC gene","4609","gngm",67,"MYC gene"
"117","Proto-Oncogene Proteins c-myc","4609","aapp",68,"Proto-Oncogene Proteins c-myc"
"119","IL1RN protein, human","3557","aapp",69,"IL1RN protein, human"
"122","AFP protein, human","174","aapp",70,"AFP protein, human"
"123","Ganciclovir","C0017066","nnon",71,"Ganciclovir"
"124","Hypoxia-Inducible Factor 1","C0215848","aapp",72,"Hypoxia-Inducible Factor 1"
"127","Transforming Growth Factor beta","C0040690","aapp",73,"Transforming Growth Factor beta"
"130","Liver neoplasms","C0023903","neop",74,"Liver neoplasms"
"131","Stimulation procedure","C1292856","topp",75,"Stimulation procedure"
