gene_id,TCGA-2J-AAB1,TCGA-2J-AAB4,TCGA-2J-AAB6,TCGA-2J-AAB8,TCGA-2J-AAB9,TCGA-2J-AABA,TCGA-2J-AABE,TCGA-2J-AABF,TCGA-2J-AABH,TCGA-2J-AABI,TCGA-2J-AABK,TCGA-2J-AABO,TCGA-2J-AABP,TCGA-2J-AABR,TCGA-2J-AABT,TCGA-2J-AABU,TCGA-2J-AABV,TCGA-2L-AAQA,TCGA-2L-AAQE,TCGA-2L-AAQI,TCGA-2L-AAQJ,TCGA-2L-AAQL,TCGA-2L-AAQM,TCGA-3A-A9I5,TCGA-3A-A9I7,TCGA-3A-A9I9,TCGA-3A-A9IB,TCGA-3A-A9IC,TCGA-3A-A9IH,TCGA-3A-A9IJ,TCGA-3A-A9IL,TCGA-3A-A9IN,TCGA-3A-A9IO,TCGA-3A-A9IR,TCGA-3A-A9IS,TCGA-3A-A9IU,TCGA-3A-A9IV,TCGA-3A-A9IX,TCGA-3A-A9IZ,TCGA-3A-A9J0,TCGA-3E-AAAY,TCGA-3E-AAAZ,TCGA-F2-6879,TCGA-F2-6880,TCGA-F2-7273,TCGA-F2-7276,TCGA-F2-A44G,TCGA-F2-A44H,TCGA-F2-A7TX,TCGA-F2-A8YN,TCGA-FB-A4P5,TCGA-FB-A4P6,TCGA-FB-A545,TCGA-FB-A5VM,TCGA-FB-A78T,TCGA-FB-A7DR,TCGA-FB-AAPP,TCGA-FB-AAPQ,TCGA-FB-AAPS,TCGA-FB-AAPU,TCGA-FB-AAPY,TCGA-FB-AAPZ,TCGA-FB-AAQ0,TCGA-FB-AAQ1,TCGA-FB-AAQ2,TCGA-FB-AAQ3,TCGA-FB-AAQ6,TCGA-H6-8124,TCGA-H6-A45N,TCGA-H8-A6C1,TCGA-HV-A5A3,TCGA-HV-A5A4,TCGA-HV-A5A5,TCGA-HV-A5A6,TCGA-HV-A7OL,TCGA-HV-A7OP,TCGA-HV-AA8V,TCGA-HV-AA8X,TCGA-HZ-7289,TCGA-HZ-7918,TCGA-HZ-7919,TCGA-HZ-7920,TCGA-HZ-7922,TCGA-HZ-7923,TCGA-HZ-7924,TCGA-HZ-7925,TCGA-HZ-7926,TCGA-HZ-8001,TCGA-HZ-8002,TCGA-HZ-8003,TCGA-HZ-8005,TCGA-HZ-8315,TCGA-HZ-8317,TCGA-HZ-8519,TCGA-HZ-8636,TCGA-HZ-8637,TCGA-HZ-8638,TCGA-HZ-A49G,TCGA-HZ-A49H,TCGA-HZ-A49I,TCGA-HZ-A4BH,TCGA-HZ-A4BK,TCGA-HZ-A77O,TCGA-HZ-A77P,TCGA-HZ-A77Q,TCGA-HZ-A8P0,TCGA-HZ-A8P1,TCGA-HZ-A9TJ,TCGA-HZ-A9TJ,TCGA-IB-7644,TCGA-IB-7645,TCGA-IB-7646,TCGA-IB-7647,TCGA-IB-7649,TCGA-IB-7651,TCGA-IB-7652,TCGA-IB-7654,TCGA-IB-7885,TCGA-IB-7886,TCGA-IB-7887,TCGA-IB-7888,TCGA-IB-7889,TCGA-IB-7890,TCGA-IB-7891,TCGA-IB-7893,TCGA-IB-7897,TCGA-IB-8126,TCGA-IB-8127,TCGA-IB-A5SO,TCGA-IB-A5SP,TCGA-IB-A5SQ,TCGA-IB-A5SS,TCGA-IB-A5ST,TCGA-IB-A6UF,TCGA-IB-A6UG,TCGA-IB-A7LX,TCGA-IB-A7M4,TCGA-IB-AAUM,TCGA-IB-AAUN,TCGA-IB-AAUO,TCGA-IB-AAUP,TCGA-IB-AAUQ,TCGA-IB-AAUR,TCGA-IB-AAUS,TCGA-IB-AAUT,TCGA-IB-AAUU,TCGA-IB-AAUV,TCGA-IB-AAUW,TCGA-L1-A7W4,TCGA-LB-A7SX,TCGA-LB-A8F3,TCGA-LB-A9Q5,TCGA-M8-A5N4,TCGA-OE-A75W,TCGA-PZ-A5RE,TCGA-Q3-A5QY,TCGA-Q3-AA2A,TCGA-RB-A7B8,TCGA-RB-AA9M,TCGA-RL-AAAS,TCGA-S4-A8RM,TCGA-S4-A8RO,TCGA-S4-A8RP,TCGA-US-A774,TCGA-US-A776,TCGA-US-A779,TCGA-US-A77E,TCGA-US-A77G,TCGA-US-A77J,TCGA-XD-AAUG,TCGA-XD-AAUH,TCGA-XD-AAUI,TCGA-XD-AAUL,TCGA-XN-A8T3,TCGA-XN-A8T5,TCGA-YB-A89D,TCGA-YH-A8SY,TCGA-YY-A8LH,TCGA-Z5-AAPL
A2M,19703.8049,15837.8241,8517.4444,14413.913,24311.7792,10302.0072,11076.8614,18795.9458,14776.9425,3769.4702,11778.2502,24191.4503,26914.161,21647.415,26281.8773,10099.2358,11981.9528,5689.073,7511.9833,11823.0964,15670.2079,21249.9357,22598.6588,8338.8415,14601.7751,14472.3059,25058.8693,12240.884,13373.1875,6998.0955,15069.5001,18052.194,6027.0684,4092.3396,3064.866,9919.0773,7038.5071,21113.4252,6585.0855,11854.6976,29675.0804,14683.923,7873.0683,17341.1844,47982.0945,29427.6021,9930.436,23090.5369,9838.1266,7541.2913,20623.8678,20171.6553,10937.1537,16176.5936,9951.6022,29970.854,1767.9847,7415.4791,32783.8552,6172.8764,15200.195,18055.7133,4333.2879,10700.7145,8090.6189,12158.5871,7705.9531,8333.7463,22943.8426,13291.9612,5786.9816,16519.065,17682.7903,6843.1317,9046.5126,4133.4423,16374.1804,6950.9056,1113.9519,33310.7607,15092.1651,31976.0025,22328.8266,28422.9788,29222.9052,18625.9021,10885.9682,29803.5174,27968.8627,20570.9386,7068.508,21595.5017,21780.39,26083.7347,15904.1195,13814.1819,13684.2543,23175.0164,21368.767,22832.6117,20200.6192,15862.0829,10129.0587,24192.8834,24246.0458,15313.98,6971.1916,7139.3916,13807.9373,12653.9172,31855.6175,16743.5939,26164.3126,37908.3799,40229.6715,23547.2489,16443.6209,20869.5846,16527.8075,9274.1596,37276.6208,21809.1141,20560.1453,28796.7106,12843.9768,31954.9404,20809.0079,13915.374,24928.9694,7847.7006,33210.9382,15446.9532,29040.0218,9212.5576,8214.8882,4657.683,4824.139,15056.3082,12850.3654,6114.7745,20726.2595,18316.7857,25304.6844,22764.5027,30072.7751,10871.6702,25995.5611,21216.0873,8110.1955,5437.9126,20510.0609,20881.4158,14937.938,10474.3793,9937.1204,17434.6184,8807.2603,17289.3608,17075.0043,34580.2572,9596.1746,12435.1661,20186.6914,16851.28,2867.1681,9206.7126,15598.0917,6687.6495,23211.0414,27767.3514,23815.5128,20787.3452,22677.6549,18811.5876,20203.6412,23524.5683,8438.5456,4471.2821,10193.6752
ABCA12,3.4146,79.1246,163.7427,160.7521,70.7395,363.2378,133.1895,100.6468,29.1812,56.2409,64.9183,258.8141,0.526,185.5288,3.1289,110.262,4.7244,15.6847,28.7303,113.2035,17.3267,38.8106,1.7804,126.6507,44.3787,37.9603,64.4966,46.4198,209.8538,0,0.5362,0.5774,0,0,0,62.3902,0.5612,36.7534,47.5836,524.9538,19.0151,18.6986,77.1496,1.2274,81.7033,22.438,363.6865,209.1723,13.1926,117.9385,12.3479,6.1308,62.8312,69.9009,110.695,173.7544,0,179.4881,4.8276,60.4489,60.6717,104.9964,1.1842,121.9086,46.0679,43.5534,57.277,107.098,21.0444,32.8664,139.3804,63.9441,120.1618,87.2591,95.5022,1.0215,126.0912,222.6064,82.5928,181.5951,34.0648,74.5906,223.5546,18.8867,12.2195,300.5962,41.8273,57.2597,19.2513,159.9371,173.3506,48.0878,63.7186,97.018,235.9521,52.5136,234.6987,57.9869,7.7584,14.8535,83.5133,33.269,89.1243,67.4847,14.6886,232.0533,23.9521,59.7536,142.0438,5.8282,227.8586,94.9239,87.0361,22.4643,0.8146,344.0233,60.8129,151.3804,0.3767,199.0015,1.6511,27.1941,29.7216,48.8903,117.6912,19.8771,10.9785,24.6066,151.1042,4.5688,122.5373,20.1158,12.6693,7.2276,11.2726,44.084,151.1539,17.9211,39.9101,80.1759,115.2786,173.4694,18.936,54.8751,15.5502,42.1815,4.1408,54.2666,216.17,164.6759,6.0914,24.6632,2.8719,10.9235,49.0635,8.5094,21.6294,166.6667,125.3219,27.8671,96.4657,53.4546,82.054,71.5789,12.2489,53.9062,10.917,94.021,39.5859,5.4054,19.2608,68.846,69.0229,31.6456,34.565,28.777,115.6542,3.5277,10.8262
ABCB1,372.1951,450.3367,70.1754,51.7039,541.2647,139.0324,92.4927,434.4821,344.5122,31.5675,440.6707,427.0833,59.9684,1189.2393,722.1527,221.6157,251.9685,52.6845,78.3133,554.3571,131.1881,539.468,362.6113,129.0516,1748.9434,304.8159,249.5213,139.2593,284.1932,265.4608,2933.516,1212.4711,4757.274,35.1154,3856.4289,134.8858,2497.5445,823.6856,141.2639,33.2717,505.1195,496.2603,78.9164,384.1669,1241.7831,1175.4856,68.4327,205.8166,258.5752,62.8319,318.8669,2098.0926,96.8963,93.8967,257.1785,313.7613,18.0838,212.6934,217.2414,110.385,592.091,396.0898,34.3407,247.3145,94.4625,193.7377,92.0188,163.5304,662.5097,492.4569,34.2611,139.1725,543.6164,49.7859,40.6654,18.3861,358.8749,98.1197,1663.356,550.5112,417.4919,1290.2923,287.7944,890.3247,1236.6584,137.4333,4974.7255,377.9141,1347.9501,370.215,52.6089,518.3643,787.0524,1545.6963,226.514,353.8264,762.6127,434.3545,446.107,450.557,266.8587,1058.3414,135.624,562.5,190.9518,316.4967,108.3832,2046.4508,424.986,362.8834,758.0042,82.7411,456.874,1468.3458,370.0787,461.7016,208.8117,241.6716,279.1436,97.0483,619.7028,490.7293,222.3999,739.7877,46.4768,945.4283,723.8968,238.0367,335.1414,151.7867,677.3862,56.5519,294.0149,280.4292,240.4824,119.8534,68.983,394.9821,254.6374,214.4582,383.6753,769.1327,600.9919,432.1411,1191.9856,356.1994,628.5714,1645.6941,23.924,75.6117,113.198,284.9966,78.6904,64.5482,257.274,260.069,118.9618,128.4349,1525.3219,1392.8189,301.8711,147.7567,462.1493,544.4211,79.8628,178.8476,232.3144,191.2369,1095.0061,606.7568,441.9573,271.9168,357.1726,626.0549,600.7151,290.853,37.3832,63.0581,270.6553
ABCC1,1184.878,1648.1481,1398.8304,2023.0317,1441.5863,1010.1769,2452.2892,1860.5475,1779.6167,2069.3033,1489.6819,1419.0705,1139.9264,1656.7718,2050.0626,1971.6157,727.5591,3872.9137,2406.8582,1429.3766,2160.8911,998.7273,547.7745,851.1405,1135.672,1835.1275,2023.1785,2606.9136,1417.4814,450.0598,1080.9666,879.9076,805.8968,3887.8202,675.602,1126.0984,647.1166,1472.9964,2359.8513,2417.7449,1200.3901,2784.9663,1646.3486,1005.2163,1513.5063,1651.3731,2115.894,1493.2886,2857.08,2288.7279,1530.4158,1292.2343,1716.8812,1093.8967,1974.1989,1690.5712,2130.4121,2323.4735,1401.3793,2318.8362,1321.2351,1169.4424,2084.1228,1723.2076,1976.7334,873.3215,1477.9343,3196.876,1253.3125,1961.2069,1396.1402,1620.0967,1320.6239,1181.4775,1387.5539,1191.0112,1442.289,1715.5825,4210.1411,1643.3538,1968.2326,1693.9591,1656.9593,1413.1875,1310.2244,2010.0408,1767.0535,1613.4969,1650.6239,1630.8338,1978.439,1583.1125,1292.2136,851.5434,1949.4888,1601.6651,889.4512,1327.6805,1205.32,1128.318,2397.8882,1054.9662,2724.6584,1485.8129,1695.6522,1402.2933,1807.7844,1603.3148,1509.7884,2065.6442,2113.5135,2435.533,1661.0037,1330.1566,1126.5273,2909.621,2754.8868,1691.7009,1806.3342,2112.9894,1906.9895,1579.7281,2601.6685,1530.1812,2666.042,1721.7203,1143.1394,1751.7322,1280.8989,1600.1056,1203.8065,1958.4401,1816.5138,2032.8709,1862.1279,1223.7907,1846.3099,1282.4373,1807.7572,1864.7044,1958.8561,1431.1224,2022.9937,1833.415,1306.2201,2666.3826,1528.3644,1381.8325,2028.4097,2134.7559,824.3655,1721.8543,1690.4078,2021.8471,1242.254,1829.5245,1372.7469,1549.5818,1426.1803,974.2765,2106.4449,3524.98,1385.3891,1721.2632,1588.437,1589.4767,1061.1354,2283.8886,1534.1048,1060.1351,1609.5783,1269.9356,1118.9189,1290.0844,1912.9917,1985.6115,1816.5888,1978.6132,1889.4587
ABCC5,788.2927,760.5219,480.7018,982.3737,558.4137,646.9391,1243.1016,1017.4537,902.8746,429.971,1061.4789,677.0833,604.9448,856.5244,991.8648,508.7336,456.6929,1724.9145,1135.7739,667.5606,721.7822,896.526,764.3917,679.4718,856.7202,1022.6629,1162.1485,817.7778,538.186,1329.4321,4023.5979,2552.5404,1046.4244,2254.6121,1308.9505,438.9279,3337.7298,725.268,856.5056,1024.5577,831.7894,984.6672,1488.5159,568.2725,530.672,657.0663,936.5342,606.264,532.9815,1021.2753,796.8041,865.1226,1037.8501,610.8503,1535.9967,582.8298,287.2544,586.9261,1493.1034,513.2528,780.6067,498.9138,886.9363,761.9286,701.2564,413.0067,550.2347,689.5465,1326.5783,1284.4828,2163.9005,1098.3342,792.6054,408.4582,603.8201,530.1328,1046.0718,604.7115,340.3032,455.6237,802.1073,1218.5223,557.6017,1482.77,673.0673,768.748,396.1473,700.2045,845.6328,945.4641,593.3592,1103.3699,760.0357,1341.9059,1112.9948,950.6884,985.6081,701.3129,882.2388,603.4933,916.7267,853.4233,709.6733,787.1933,477.6733,1041.2476,418.5629,833.0607,752.6032,841.411,867.3597,548.2234,970.988,454.7311,638.8813,681.4206,542.0416,708.5676,628.3557,932.6443,931.2053,445.4059,914.7091,556.6635,1063.3433,1448.1388,806.2358,706.3394,946.5324,1037.1243,814.628,478.2237,683.2678,1331.7979,772.979,668.6076,1205.1737,877.4194,509.837,1344.2989,898.909,875.6378,806.5825,1000,869.6172,1182.7865,1306.8323,854.5026,2410.7658,892.0329,289.8477,743.5488,1598.5066,895.7299,859.2291,813.7129,1192.5018,1755.0777,806.4378,510.1822,651.5593,1250.6367,875.0662,780.2105,221.4601,673.5754,556.7686,2295.7554,728.989,1073.6486,1157.2098,665.1808,1237.422,656.6456,591.7759,849.4347,1359.229,885.9001,621.6524
ABL2,594.1463,608.5859,1528.655,939.1304,919.6141,1082.8245,956.3743,1026.3135,995.6446,1263.7881,866.2941,1172.2756,1462.3882,1055.0402,854.1927,1400.655,620.4724,839.3324,557.924,618.9754,796.0396,515.5348,656.9733,1006.0024,1132.7134,700.8499,1229.87,1663.2099,574.9685,893.7359,748.5265,1360.8545,585.5425,670.6344,560.6542,1108.9631,611.1969,1475.0383,1710.0372,837.0742,930.7655,835.4525,694.6408,765.8791,1759.4145,2380.777,870.8609,975.3915,718.5576,697.3307,874.5233,952.9973,1373.2021,1333.3333,797.3367,1128.7196,403.4081,753.85,1555.8621,909.7377,752.9794,1166.546,718.1934,1162.628,1272.685,438.538,680.7512,881.911,1005.456,834.0517,643.1744,771.6282,1059.5032,877.9443,441.1583,624.1062,1109.6023,408.0398,395.7135,996.319,733.1855,1830.9175,1461.242,1658.383,648.3791,1584.5623,1072.6591,1015.1329,1801.426,1487.677,1367.3997,1185.1571,1127.5647,1416.5148,1528.9697,1108.2293,703.7799,901.5317,1507.8969,747.6276,1392.3686,779.6528,840.3152,919.862,1601.0576,698.8195,939.521,1054.6287,682.154,640.7975,2204.5738,1447.2081,1013.8526,1115.0442,1126.5273,736.2841,984.4865,889.8213,1064.9649,788.9989,1298.8442,831.8912,1747.94,1152.7822,1895.8021,2367.9075,1567.1852,1425.8888,916.3115,422.3629,989.6113,1015.6561,1471.3849,1376.6087,1215.2948,1515.8473,651.2808,1030.8244,1062.9567,841.1091,889.2292,1411.9898,2222.2723,1753.0622,939.5933,688.5386,2324.2236,1383.7987,1081.2774,579.3807,759.3909,1084.2658,980.471,610.2284,808.9287,1614.1299,757.0296,1121.2664,1285.8369,664.523,979.6258,1430.6678,902.594,1069.4737,515.4336,408.0748,735.3712,508.4436,1390.9866,3590.5405,1994.2738,1142.6449,723.4927,1160.3376,1998.8081,817.0606,1265.1869,571.4916,1017.094
ACVR2A,480.4878,431.8182,284.2105,515.1586,470.5252,546.7356,545.7068,477.7177,341.4634,355.225,488.3921,480.7692,174.1189,381.5708,387.985,263.1004,327.5591,227.227,737.7201,635.9803,476.7327,435.9729,442.1365,275.5102,487.743,460.0567,282.1727,406.9136,332.204,986.3014,299.7323,540.4157,382.7751,302.6117,352.1127,503.0756,335.6251,609.6988,266.9145,453.1291,608.9712,584.5176,849.8233,355.9374,465.4691,457.8031,420.5298,400.4474,327.1768,406.347,432.1772,508.1744,448.1453,309.8592,505.618,245.354,293.5142,202.8216,435.8621,180.2204,469.6641,488.7762,400.2463,278.2913,303.3969,577.4585,392.4883,417.2704,569.7584,453.6638,719.4833,604.5137,455.2282,566.9165,309.3038,432.0735,451.5034,478.928,347.6215,506.7485,570.3874,494.868,728.0514,699.1385,391.2718,549.1057,349.1674,892.4335,676.6488,578.3954,272.1,644.0742,358.3535,537.8169,506.8601,385.5267,409.6157,564.0044,583.5411,377.3896,552.9158,518.8042,306.1227,524.1564,331.9624,363.0404,417.9641,362.883,571.0391,624.2331,552.5988,486.2944,530.0575,716.1334,457.779,687.2515,563.1399,409.8347,477.2942,378.3831,558.0627,554.1821,605.7066,683.1779,622.9385,650.1626,483.7415,585.8965,595.8931,409.6717,388.6883,253.914,351.682,437.5081,346.767,471.1479,385.4933,505.3763,377.1782,232.1658,438.6746,410.0765,311.5419,273.8854,479.067,476.7789,852.1739,503.3425,158.9234,623.4489,319.2893,342.544,296.9558,406.6534,427.5531,378.669,398.7022,489.8447,452.7897,535.9057,443.659,230.4601,416.6226,419.7895,263.5963,528.9859,487.3362,469.6486,396.4677,573.6486,505.9865,286.2803,364.657,459.9156,524.4338,655.704,322.4299,389.8137,311.6809
ADAM23,46.3415,48.4007,30.4094,63.9248,52.5188,62.0009,17.2653,45.3619,53.5714,22.1335,30.5245,84.1346,219.8843,91.5275,138.9237,26.2009,9.4488,5.2282,99.6293,84.5382,33.1683,49.807,7.7151,28.8115,93.8292,46.4589,77.7991,55.8025,199.787,458.0396,82.5738,93.5335,137.5921,110.8543,0.4543,109.8418,10.6637,110.2603,20.0743,59.6778,85.3242,121.5408,141.9317,14.7284,209.7139,122.572,12.1413,42.5056,32.102,76.7373,78.4456,61.9891,19.6821,53.7298,24.1365,161.4411,1.3911,16.1539,87.5862,13.892,72.5894,139.0297,1.1842,21.9835,29.316,14.2675,9.3897,35.4247,80.2806,88.9009,61.5143,49.4358,32.3512,39.0792,22.7973,4.0858,98.4481,9.5094,36.069,143.1493,43.9674,246.3371,146.8951,158.7144,112.4688,197.9918,83.0485,173.8241,185.0267,167.2784,13.7991,183.2639,91.7548,146.0542,162.5448,124.5597,61.9959,87.5274,63.1754,63.8152,95.5124,27.001,22.1427,147.2393,242.6557,45.2138,12.5749,50.5943,28.0651,34.3558,200.4158,76.1421,333.7689,136.8278,87.1572,86.4034,81.9113,66.7953,43.3219,52.5532,277.3803,150.8035,49.1944,174.547,122.1889,274.6657,137.2316,60.61,186.3619,11.1682,164.6901,119.5559,165.5745,9.1549,34.3546,19.2868,21.8108,45.1613,61.2704,9.3457,149.1582,19.1327,183.0478,94.0715,99.8804,31.1035,231.0559,101.8482,660.8993,21.8022,15.2284,62.1146,33.8886,9.9305,183.0603,45.2063,12.2567,44.2055,64.3777,178.9925,10.8108,33.7874,56.6437,67.7895,29.8873,9.5721,44.9782,10.9539,110.8404,177.027,107.7564,84.2001,44.4906,177.7426,174.0167,86.8448,36.215,2.6458,49.5726
ADAMTS18,4.3902,9.6801,0,15.0411,9.6463,145.2951,16.0321,15.9476,3.9199,2.9028,13.7575,20.0321,12.0989,7.4212,21.9024,3.2751,6.2992,6.4347,14.8285,8.2595,8.9109,5.1748,4.7478,21.6086,47.3373,7.932,45.9538,13.3333,6.5821,327.7032,33.244,15.5889,172.2488,0.3443,726.488,4.3937,105.5142,8.5758,2.2305,33.7998,17.0648,16.4547,20.6125,12.2737,18.0971,39.8526,16.5563,10.0671,20.2287,11.8454,14.527,27.248,3.785,5.2165,12.9005,27.8189,2.7821,4.4872,35.1724,6.3828,17.8765,27.5163,11.8416,15.4884,17.2173,9.0111,9.3897,6.5906,28.8387,13.4698,0.7787,9.1349,16.7533,9.636,1.2323,1.0215,8.2444,1.2967,0,10.6339,11.487,26.6395,23.1263,60.3048,23.4414,20.7091,15.4579,55.6237,12.1212,21.4997,11.2117,33.3207,27.5264,20.5636,6.9912,29.4589,11.387,15.3173,16.6251,7.1517,11.5191,13.5005,1.1071,8.819,60.517,33.2455,3.5928,5.2339,5.7276,37.1166,43.659,4.0609,17.7731,8.8496,11.1322,4.7707,22.96,26.1811,28.6301,5.956,24.7661,5.3564,16.3981,14.5813,16.8666,54.2103,39.7972,29.2689,54.63,4.5688,26.4681,8.3499,18.3486,3.8547,15.5669,17.9091,7.6084,5.7348,8.9938,2.9513,32.5596,17.8571,19.3868,44.096,33.4928,24.2863,90.6832,4.3256,2.9905,8.3498,3.5533,0,6.3182,5.4618,23.501,19.678,25.2343,25.0896,9.4421,6.9668,12.474,6.0515,17.9989,19.3684,9.3092,3.5266,31.0044,3.1949,19.4884,108.1081,35.3982,7.4294,12.474,15.8228,25.0298,11.3052,14.0187,3.0868,47.8632
ADIPOR2,2715.6098,1733.165,1630.4094,2056.8743,2122.1865,2097.3853,1536.6117,2642.6863,2721.2544,4958.2729,1864.1445,2106.5705,1267.7538,1808.287,1899.8748,1183.4061,2130.7087,2972.8534,1491.6589,2461.3262,1589.604,1816.3383,1735.905,1676.4706,2422.6543,1341.6431,1855.4873,1464.6914,2062.1431,1379.9707,1644.5062,1968.8222,2085.0899,1289.6285,2583.3712,2312.8295,1578.7849,1704.9515,3857.2491,1286.5065,1269.137,2225.8788,2593.6396,2316.0479,1853.0938,1651.0382,2317.8808,1553.6913,2769.569,1202.5607,1802.0701,1631.4714,1896.2907,1619.1967,1919.2676,1870.7103,8294.2097,2153.8572,1293.7931,3225.5703,1821.2351,2135.4091,2694.5576,3142.1434,4546.7659,1634.7556,2096.7136,2011.7952,1560.4053,1521.0129,2319.6328,912.95,1688.6193,1259.636,1802.2181,574.0552,1386.5179,1057.2725,76984.8406,2234.3558,1763.4477,2023.0353,2875.803,1964.2147,2266.3342,2027.9259,1825.2481,1487.1166,2059.18,2711.0645,2247.9517,1817.1147,2552.8227,1559.4054,1667.0454,1555.8758,1995.888,1648.2495,1908.5619,1079.3563,2447.8042,1656.2199,1967.3783,1881.135,1441.2456,2216.8069,2665.8683,3834.2602,3774.4711,1982.5153,1896.0499,2447.7157,2990.5907,2121.8516,2431.9848,1719.3215,24751.7841,2550.3063,1717.0535,1732.5042,1859.1084,1762.2579,1817.1197,1871.1268,1465.5172,2053.1261,1953.4922,2286.3433,2234.0178,1561.0167,1556.7139,1811.5571,2057.6671,2614.9302,2255.5957,2964.6501,2029.9265,2050.1792,2243.9573,1764.8534,1557.141,1722.5765,1500.4509,1820.6761,4941.3876,1715.3813,1500.207,1864.3335,2115.9885,2255.3636,1754.3147,1492.5782,1632.3952,1678.2522,2658.91,1674.7595,1958.1831,1169.6535,1732.618,1446.4094,2186.6944,2488.1618,1595.5532,1888.4211,35571.7785,2025.2603,2080.786,2447.7408,1550.5481,1903.3784,2052.5768,1927.687,2317.6715,1901.8987,1454.112,2023.6382,2411.215,1638.6286,1519.0883
