gene_id,TCGA-2J-AAB1,TCGA-2J-AAB4,TCGA-2J-AAB6,TCGA-2J-AAB8,TCGA-2J-AAB9,TCGA-2J-AABA,TCGA-2J-AABE,TCGA-2J-AABF,TCGA-2J-AABH,TCGA-2J-AABI,TCGA-2J-AABK,TCGA-2J-AABO,TCGA-2J-AABP,TCGA-2J-AABR,TCGA-2J-AABT,TCGA-2J-AABU,TCGA-2J-AABV,TCGA-2L-AAQA,TCGA-2L-AAQE,TCGA-2L-AAQI,TCGA-2L-AAQJ,TCGA-2L-AAQL,TCGA-2L-AAQM,TCGA-3A-A9I5,TCGA-3A-A9I7,TCGA-3A-A9I9,TCGA-3A-A9IB,TCGA-3A-A9IC,TCGA-3A-A9IH,TCGA-3A-A9IJ,TCGA-3A-A9IL,TCGA-3A-A9IN,TCGA-3A-A9IO,TCGA-3A-A9IR,TCGA-3A-A9IS,TCGA-3A-A9IU,TCGA-3A-A9IV,TCGA-3A-A9IX,TCGA-3A-A9IZ,TCGA-3A-A9J0,TCGA-3E-AAAY,TCGA-3E-AAAZ,TCGA-F2-6879,TCGA-F2-6880,TCGA-F2-7273,TCGA-F2-7276,TCGA-F2-A44G,TCGA-F2-A44H,TCGA-F2-A7TX,TCGA-F2-A8YN,TCGA-FB-A4P5,TCGA-FB-A4P6,TCGA-FB-A545,TCGA-FB-A5VM,TCGA-FB-A78T,TCGA-FB-A7DR,TCGA-FB-AAPP,TCGA-FB-AAPQ,TCGA-FB-AAPS,TCGA-FB-AAPU,TCGA-FB-AAPY,TCGA-FB-AAPZ,TCGA-FB-AAQ0,TCGA-FB-AAQ1,TCGA-FB-AAQ2,TCGA-FB-AAQ3,TCGA-FB-AAQ6,TCGA-H6-8124,TCGA-H6-A45N,TCGA-H8-A6C1,TCGA-HV-A5A3,TCGA-HV-A5A4,TCGA-HV-A5A5,TCGA-HV-A5A6,TCGA-HV-A7OL,TCGA-HV-A7OP,TCGA-HV-AA8V,TCGA-HV-AA8X,TCGA-HZ-7289,TCGA-HZ-7918,TCGA-HZ-7919,TCGA-HZ-7920,TCGA-HZ-7922,TCGA-HZ-7923,TCGA-HZ-7924,TCGA-HZ-7925,TCGA-HZ-7926,TCGA-HZ-8001,TCGA-HZ-8002,TCGA-HZ-8003,TCGA-HZ-8005,TCGA-HZ-8315,TCGA-HZ-8317,TCGA-HZ-8519,TCGA-HZ-8636,TCGA-HZ-8637,TCGA-HZ-8638,TCGA-HZ-A49G,TCGA-HZ-A49H,TCGA-HZ-A49I,TCGA-HZ-A4BH,TCGA-HZ-A4BK,TCGA-HZ-A77O,TCGA-HZ-A77P,TCGA-HZ-A77Q,TCGA-HZ-A8P0,TCGA-HZ-A8P1,TCGA-HZ-A9TJ,TCGA-HZ-A9TJ,TCGA-IB-7644,TCGA-IB-7645,TCGA-IB-7646,TCGA-IB-7647,TCGA-IB-7649,TCGA-IB-7651,TCGA-IB-7652,TCGA-IB-7654,TCGA-IB-7885,TCGA-IB-7886,TCGA-IB-7887,TCGA-IB-7888,TCGA-IB-7889,TCGA-IB-7890,TCGA-IB-7891,TCGA-IB-7893,TCGA-IB-7897,TCGA-IB-8126,TCGA-IB-8127,TCGA-IB-A5SO,TCGA-IB-A5SP,TCGA-IB-A5SQ,TCGA-IB-A5SS,TCGA-IB-A5ST,TCGA-IB-A6UF,TCGA-IB-A6UG,TCGA-IB-A7LX,TCGA-IB-A7M4,TCGA-IB-AAUM,TCGA-IB-AAUN,TCGA-IB-AAUO,TCGA-IB-AAUP,TCGA-IB-AAUQ,TCGA-IB-AAUR,TCGA-IB-AAUS,TCGA-IB-AAUT,TCGA-IB-AAUU,TCGA-IB-AAUV,TCGA-IB-AAUW,TCGA-L1-A7W4,TCGA-LB-A7SX,TCGA-LB-A8F3,TCGA-LB-A9Q5,TCGA-M8-A5N4,TCGA-OE-A75W,TCGA-PZ-A5RE,TCGA-Q3-A5QY,TCGA-Q3-AA2A,TCGA-RB-A7B8,TCGA-RB-AA9M,TCGA-RL-AAAS,TCGA-S4-A8RM,TCGA-S4-A8RO,TCGA-S4-A8RP,TCGA-US-A774,TCGA-US-A776,TCGA-US-A779,TCGA-US-A77E,TCGA-US-A77G,TCGA-US-A77J,TCGA-XD-AAUG,TCGA-XD-AAUH,TCGA-XD-AAUI,TCGA-XD-AAUL,TCGA-XN-A8T3,TCGA-XN-A8T5,TCGA-YB-A89D,TCGA-YH-A8SY,TCGA-YY-A8LH,TCGA-Z5-AAPL
A1BG,81.9122,56.7551,82.5497,56.9307,105.7878,99.3455,79.4019,92.7368,52.574,76.3316,110.9845,61.4904,53.1931,102.6345,43.5419,54.5852,105.5118,65.1036,124.1752,50.3537,91.5297,223.1418,1056.4392,158.4094,67.4598,143.4731,91.5812,138.2272,89.2498,645.5858,723.7382,823.4527,379.2681,253.9528,369.3503,71.0325,514.859,103.804,39.2193,35.474,119.9122,35.4488,21.9317,72.2307,76.5828,56.1554,88.0022,124.1611,49.8197,97.6726,191.4945,84.0395,72.5965,140.8659,74.4403,58.0595,7.0249,61.8426,297.6966,29.6613,110.5146,44.5764,47.8342,114.7589,72.6477,184.6741,53.7465,63.9293,141.5588,144.3427,118.9951,89.6668,103.911,52.9979,136.6297,61.287,179.6363,73.1705,37.1145,12.1636,27.1172,79.2071,24.8394,90.6329,25.2943,52.1148,35.4078,79.3211,41.3761,45.6529,35.8215,49.5381,44.3482,238.0921,89.2878,87.0829,31.988,111.6083,152.7681,123.2293,83.4461,104.0791,68.0611,65.4525,82.2503,156.1406,43.6108,62.9174,58.0656,26.5368,35.2225,14.2487,24.046,38.1212,44.6239,55.3353,30.332,46.5184,19.1257,32.9333,69.5762,71.1042,71.0398,51.1032,53.1822,50.6578,150.2069,58.0198,121.8404,34.52,211.4357,92.5629,269.9257,70.0495,61.0117,35.5519,76.0233,112.1505,60.2024,87.7901,109.4091,151.9834,186.3706,218.5595,166.2261,61.3038,206.8033,76.8659,133.1325,65.2209,80.1218,105.7502,37.9092,265.5958,143.3148,283.2625,72.646,172.1983,99.5365,190.0482,39.6258,78.2303,116.0879,123.1832,25.8795,87.4792,105.4629,37.8731,251.6991,192.973,135.0495,141.4958,101.9751,132.0253,122.8427,156.8859,239.3867,65.8274,120.8775
AASS,274.6341,303.8721,162.5731,216.2162,312.9689,416.471,243.5641,329.5827,376.3066,195.5733,335.3396,333.3333,252.4987,358.0705,342.3029,152.8384,505.5118,165.2926,194.6247,203.0861,206.9307,177.2353,230.8605,184.8739,216.8216,271.9547,218.4823,310.1235,169.9739,162.2556,350.6707,370.0924,186.7322,26.5086,104.0436,227.5923,398.4846,312.8127,127.1375,291.5236,376.4018,301.4211,263.2509,276.1583,447.6381,483.5901,213.0243,277.4049,145.5585,257.5076,440.1671,703.6785,299.7729,162.2327,646.2755,302.3601,108.5029,317.6939,590.3448,146.4291,293.6078,205.6481,482.5455,394.704,97.7199,185.4776,218.7793,311.4081,317.2253,224.1379,159.6256,331.0048,279.0295,173.9829,80.7147,20.429,414.161,162.9566,35.0235,330.8793,292.7196,510.5383,433.4047,682.5712,175.0623,300.9099,249.1455,220.8589,537.6114,481.3844,201.3799,621.7342,686.1221,481.3989,312.1559,265.1297,314.4077,324.9453,397.34,316.8753,345.0924,399.2285,200.9449,308.2822,388.9542,357.7211,256.8862,481.1162,548.6861,218.7117,457.3805,224.8731,158.9127,270.9326,362.4762,240.1272,193.6084,258.4543,278.3902,394.1491,417.7215,209.3119,286.4551,268.4679,309.2204,741.9588,402.7748,284.4007,346.3774,318.2951,171.5522,134.7376,269.1131,241.4004,309.1916,141.8954,272.8887,486.7384,338.3924,260.2028,340.9958,547.8316,350.3156,416.9525,430.0239,283.7665,586.3354,397.9552,134.145,243.0709,193.9086,248.4586,427.915,192.1549,123.2771,276.0242,498.1975,359.6177,301.7167,329.0461,896.0499,241.0501,299.1001,343.5789,82.8025,190.9387,405.2402,379.7353,303.8977,702.027,436.2311,443.7841,372.1414,416.6667,388.5578,346.3515,285.0467,157.4248,283.7607
ABCA1,223.878,362.3485,574.2573,500.1175,422.2508,949.3784,630.1588,812.1804,410.2134,313.4361,218.8306,387.0192,1043.1247,678.3797,791.5895,780.5459,229.9213,450.0302,547.266,399.3703,412.8713,382.9317,323.4065,454.3818,828.7828,707.0312,1115.3119,1116.0395,429.3873,288.3362,1192.4949,987.2344,343.3751,1194.218,2058.0963,636.1775,1143.2412,945.3354,794.6766,729.3372,934.6514,682.1129,1486.1543,416.0049,2297.4584,967.505,1118.1015,747.1924,955.5497,636.5177,881.0605,861.7166,781.2263,519.5618,359.9667,1527.6799,206.5728,543.84,1736.5241,132.5371,501.013,740.0434,348.7057,294.2643,267.5663,321.3943,117.3709,1000.0937,851.9096,730.0647,1780.0203,809.2423,656.8458,854.3897,454.7135,194.0756,2513.4966,264.0977,200.2091,1850.2454,695.4844,1460.7631,1947.2548,1736.1962,1157.5985,1962.6232,1050.2118,1041.3047,1434.8984,2013.5711,1785.1833,963.6123,888.9512,1216.874,1229.3664,1727.8066,621.5246,998.3479,686.6002,259.1115,860.5712,757.4494,663.7106,873.796,1531.6745,638.3127,216.7665,209.0106,926.8128,1484.0307,2239.4428,1366.9746,1189.7386,1695.6705,1156.9346,1668.688,1247.5737,1406.3808,1026.917,1583.2355,1826.5933,531.9324,2139.9479,1912.2676,2228.2196,1749.429,1232.3126,986.8419,862.4409,452.304,1039.1017,1351.9157,862.3635,570.4759,616.1716,476.112,371.2757,594.9821,764.4519,824.8526,1212.5064,521.6071,1423.9901,2215.5708,847.4342,501.4913,2590.7909,719.5163,1210.2659,487.9601,220.8122,938.0955,1323.9518,282.0258,970.129,859.9829,537.8515,551.3321,354.0773,414.791,569.9792,519.9018,687.639,1132.1642,177.8442,160.2072,662.8603,702.3962,383.0694,742.4527,1029.672,522.0208,649.4719,1013.1857,1379.565,730.185,1355.1343,218.278,936.5185
ABCA12,3.4146,79.1246,163.7427,160.7521,70.7395,363.2378,133.1895,100.6468,29.1812,56.2409,64.9183,258.8141,0.526,185.5288,3.1289,110.262,4.7244,15.6847,28.7303,113.2035,17.3267,38.8106,1.7804,126.6507,44.3787,37.9603,64.4966,46.4198,209.8538,0,0.5362,0.5774,0,0,0,62.3902,0.5612,36.7534,47.5836,524.9538,19.0151,18.6986,77.1496,1.2274,81.7033,22.438,363.6865,209.1723,13.1926,117.9385,12.3479,6.1308,62.8312,69.9009,110.695,173.7544,0,179.4881,4.8276,60.4489,60.6717,104.9964,1.1842,121.9086,46.0679,43.5534,57.277,107.098,21.0444,32.8664,139.3804,63.9441,120.1618,87.2591,95.5022,1.0215,126.0912,222.6064,82.5928,181.5951,34.0648,74.5906,223.5546,18.8867,12.2195,300.5962,41.8273,57.2597,19.2513,159.9371,173.3506,48.0878,63.7186,97.018,235.9521,52.5136,234.6987,57.9869,7.7584,14.8535,83.5133,33.269,89.1243,67.4847,14.6886,232.0533,23.9521,142.0438,59.7536,5.8282,227.8586,94.9239,87.0361,22.4643,0.8146,344.0233,60.8129,151.3804,0.3767,199.0015,1.6511,27.1941,29.7216,48.8903,117.6912,19.8771,10.9785,24.6066,151.1042,4.5688,122.5373,20.1158,12.6693,7.2276,11.2726,44.084,151.1539,17.9211,39.9101,80.1759,115.2786,173.4694,18.936,54.8751,15.5502,42.1815,4.1408,54.2666,216.17,164.6759,6.0914,24.6632,2.8719,10.9235,49.0635,8.5094,21.6294,166.6667,125.3219,27.8671,96.4657,53.4546,82.054,71.5789,12.2489,53.9062,10.917,94.021,39.5859,5.4054,19.2608,68.846,69.0229,31.6456,34.565,28.777,115.6542,3.5277,10.8262
ABCB1,372.1951,450.3367,70.1754,51.7039,541.2647,139.0324,92.4927,434.4821,344.5122,31.5675,440.6707,427.0833,59.9684,1189.2393,722.1527,221.6157,251.9685,52.6845,78.3133,554.3571,131.1881,539.468,362.6113,129.0516,1748.9434,304.8159,249.5213,139.2593,284.1932,265.4608,2933.516,1212.4711,4757.274,35.1154,3856.4289,134.8858,2497.5445,823.6856,141.2639,33.2717,505.1195,496.2603,78.9164,384.1669,1241.7831,1175.4856,68.4327,205.8166,258.5752,62.8319,318.8669,2098.0926,96.8963,93.8967,257.1785,313.7613,18.0838,212.6934,217.2414,110.385,592.091,396.0898,34.3407,247.3145,94.4625,193.7377,92.0188,163.5304,662.5097,492.4569,34.2611,139.1725,543.6164,49.7859,40.6654,18.3861,358.8749,98.1197,1663.356,550.5112,417.4919,1290.2923,287.7944,890.3247,1236.6584,137.4333,4974.7255,377.9141,1347.9501,370.215,52.6089,518.3643,787.0524,1545.6963,226.514,353.8264,762.6127,434.3545,446.107,450.557,266.8587,1058.3414,135.624,562.5,190.9518,316.4967,108.3832,424.986,2046.4508,362.8834,758.0042,82.7411,456.874,1468.3458,370.0787,461.7016,208.8117,241.6716,279.1436,97.0483,619.7028,490.7293,222.3999,739.7877,46.4768,945.4283,723.8968,238.0367,335.1414,151.7867,677.3862,56.5519,294.0149,280.4292,240.4824,119.8534,68.983,394.9821,254.6374,214.4582,383.6753,769.1327,600.9919,432.1411,1191.9856,356.1994,628.5714,1645.6941,23.924,75.6117,113.198,284.9966,78.6904,64.5482,257.274,260.069,118.9618,128.4349,1525.3219,1392.8189,301.8711,147.7567,462.1493,544.4211,79.8628,178.8476,232.3144,191.2369,1095.0061,606.7568,441.9573,271.9168,357.1726,626.0549,600.7151,290.853,37.3832,63.0581,270.6553
ABCC1,1184.878,1648.1481,1398.8304,2023.0317,1441.5863,1010.1769,2452.2892,1860.5475,1779.6167,2069.3033,1489.6819,1419.0705,1139.9264,1656.7718,2050.0626,1971.6157,727.5591,3872.9137,2406.8582,1429.3766,2160.8911,998.7273,547.7745,851.1405,1135.672,1835.1275,2023.1785,2606.9136,1417.4814,450.0598,1080.9666,879.9076,805.8968,3887.8202,675.602,1126.0984,647.1166,1472.9964,2359.8513,2417.7449,1200.3901,2784.9663,1646.3486,1005.2163,1513.5063,1651.3731,2115.894,1493.2886,2857.08,2288.7279,1530.4158,1292.2343,1716.8812,1093.8967,1974.1989,1690.5712,2130.4121,2323.4735,1401.3793,2318.8362,1321.2351,1169.4424,2084.1228,1723.2076,1976.7334,873.3215,1477.9343,3196.876,1253.3125,1961.2069,1396.1402,1620.0967,1320.6239,1181.4775,1387.5539,1191.0112,1442.289,1715.5825,4210.1411,1643.3538,1968.2326,1693.9591,1656.9593,1413.1875,1310.2244,2010.0408,1767.0535,1613.4969,1650.6239,1630.8338,1978.439,1583.1125,1292.2136,851.5434,1949.4888,1601.6651,889.4512,1327.6805,1205.32,1128.318,2397.8882,1054.9662,2724.6584,1485.8129,1695.6522,1402.2933,1807.7844,1509.7884,1603.3148,2065.6442,2113.5135,2435.533,1661.0037,1330.1566,1126.5273,2909.621,2754.8868,1691.7009,1806.3342,2112.9894,1906.9895,1579.7281,2601.6685,1530.1812,2666.042,1721.7203,1143.1394,1751.7322,1280.8989,1600.1056,1203.8065,1958.4401,1816.5138,2032.8709,1862.1279,1223.7907,1846.3099,1282.4373,1807.7572,1864.7044,1958.8561,1431.1224,2022.9937,1833.415,1306.2201,2666.3826,1528.3644,1381.8325,2028.4097,2134.7559,824.3655,1721.8543,1690.4078,2021.8471,1242.254,1829.5245,1372.7469,1549.5818,1426.1803,974.2765,2106.4449,3524.98,1385.3891,1721.2632,1588.437,1589.4767,1061.1354,2283.8886,1534.1048,1060.1351,1609.5783,1269.9356,1118.9189,1290.0844,1912.9917,1985.6115,1816.5888,1978.6132,1889.4587
ABCC3,8498.0488,7824.0741,757.8947,6400.9401,6856.3773,7140.1284,7722.522,6843.271,7969.0767,1144.0493,5490.1118,5116.9872,518.6744,5912.1831,3519.3992,6120.0873,3796.8504,7650.1106,8364.6895,8201.1816,3848.0198,4899.8443,59.3472,5659.0636,3311.0735,8862.3229,5782.9285,3711.1111,7847.4494,3.1919,616.0866,151.8476,215.699,18.9347,60.4271,3150.2636,323.2777,4429.6069,7898.1413,9862.16,7856.1677,3189.2296,4321.8492,3867.444,3441.1178,5697.2539,7071.1921,4383.6689,5138.9622,4513.0788,4307.9717,8224.1144,8748.6752,338.5498,15117.3533,2355.0336,4943.1403,9330.6889,1656.5517,13871.7168,10315.818,4575.6698,9878.8604,8429.6777,5520.7073,6491.7145,5810.3286,8594.6165,5600.1559,27880.9267,6089.1334,11946.2654,5517.6199,4286.9379,7383.2409,4886.619,5056.741,5893.2354,4772.6085,2615.5419,11105.1256,2161.2474,4141.7559,4031.4778,7183.2918,2754.6282,6658.7306,2959.1002,5085.5615,2344.5202,2139.2842,7946.9898,4722.3143,1930.6045,6259.1978,2490.8742,7069.7454,8387.8556,3845.3865,8605.1437,1585.7931,8311.9576,6581.9155,3526.0736,3309.6357,6040.0342,9710.1796,14835.5614,17438.8834,7589.8773,4350.9356,2436.5482,3106.116,5883.5943,5636.1662,3698.6483,5181.5079,4449.442,4767.2908,8548.3052,3236.6538,4280.5933,2861.4767,10025.0885,4214.018,1445.9704,2118.1702,5886.68,6141.8055,10433.6834,2571.813,1695.0375,1768.4578,6272.0742,8089.9769,8222.1283,3824.4991,4645.1613,6397.4143,15433.6139,3558.2366,5484.6939,2142.0198,2391.9647,6239.8325,9923.3063,888.6128,8819.1113,1337.1783,5562.7972,2936.0406,6031.514,7488.2252,8482.6216,8262.8647,1677.4187,11410.9589,8314.2174,5434.3348,3551.9829,19392.9314,4995.4866,9935.4156,6499.3684,2875.0612,10729.8494,5547.5983,11485.1666,4176.6139,2556.0811,1505.4659,3930.6587,5362.1622,4087.5527,2547.6758,3409.0442,3671.729,12445.8163,2104.2735
ABCC4,191.2195,239.4781,94.7368,286.7215,225.0804,343.1971,204.1005,322.1405,229.5296,105.5878,169.3895,232.3718,757.4961,443.4137,567.5845,260.917,215.748,192.2381,98.7025,223.0061,183.1683,146.8336,52.819,626.0504,366.8639,214.7309,249.5213,219.2593,251.6697,50.0066,709.9205,230.3695,1116.7723,27.5415,2055.8837,164.7627,651.6066,431.2404,147.2119,264.5894,358.3618,386.6866,374.5583,338.7542,456.9528,575.3516,298.0132,327.7405,215.9191,191.0707,415.4712,386.2398,147.6154,191.9666,124.4278,375.7838,34.7766,57.4362,320.6897,103.2513,237.2698,236.7849,191.2419,291.2815,313.6342,179.4702,288.2629,258.6829,297.7397,441.2716,82.5381,188.6083,549.3934,233.94,90.573,19.4076,341.4161,157.3374,93.0476,674.4376,340.648,457.2593,477.9443,469.8476,1047.8803,545.0267,1062.3538,297.3415,690.5526,563.1883,838.7236,307.8379,676.9466,391.7627,322.9922,776.1768,697.77,326.0394,274.3142,176.5919,348.4521,202.0251,275.6765,476.9939,390.7168,238.0375,98.2036,440.4504,209.3556,330.9816,529.3139,369.5431,1330.1098,439.0742,834.1026,287.5696,548.5572,309.8095,280.6505,296.4001,812.8784,306.1393,426.3518,641.1494,622.5637,619.082,529.7141,327.6565,299.1089,305.0963,480.3462,259.2276,481.8698,201.8898,219.5475,228.2266,143.0383,301.0753,228.7802,160.3518,457.5944,332.2704,342.2002,435.5708,357.6555,204.9425,848.8613,301.219,196.091,375.7393,133.5025,228.3626,182.0793,71.4995,240.782,346.7587,170.8724,208.4827,359.6567,359.5927,192.5156,279.3761,265.7491,478.3158,102.4008,127.9642,211.7904,260.6116,356.8819,636.4865,269.1307,492.3229,403.7422,287.4473,629.3206,281.6033,259.9299,118.6198,281.4815
ABCC5,788.2927,760.5219,480.7018,982.3737,558.4137,646.9391,1243.1016,1017.4537,902.8746,429.971,1061.4789,677.0833,604.9448,856.5244,991.8648,508.7336,456.6929,1724.9145,1135.7739,667.5606,721.7822,896.526,764.3917,679.4718,856.7202,1022.6629,1162.1485,817.7778,538.186,1329.4321,4023.5979,2552.5404,1046.4244,2254.6121,1308.9505,438.9279,3337.7298,725.268,856.5056,1024.5577,831.7894,984.6672,1488.5159,568.2725,530.672,657.0663,936.5342,606.264,532.9815,1021.2753,796.8041,865.1226,1037.8501,610.8503,1535.9967,582.8298,287.2544,586.9261,1493.1034,513.2528,780.6067,498.9138,886.9363,761.9286,701.2564,413.0067,550.2347,689.5465,1326.5783,1284.4828,2163.9005,1098.3342,792.6054,408.4582,603.8201,530.1328,1046.0718,604.7115,340.3032,455.6237,802.1073,1218.5223,557.6017,1482.77,673.0673,768.748,396.1473,700.2045,845.6328,945.4641,593.3592,1103.3699,760.0357,1341.9059,1112.9948,950.6884,985.6081,701.3129,882.2388,603.4933,916.7267,853.4233,709.6733,787.1933,477.6733,1041.2476,418.5629,752.6032,833.0607,841.411,867.3597,548.2234,970.988,454.7311,638.8813,681.4206,542.0416,708.5676,628.3557,932.6443,931.2053,445.4059,914.7091,556.6635,1063.3433,1448.1388,806.2358,706.3394,946.5324,1037.1243,814.628,478.2237,683.2678,1331.7979,772.979,668.6076,1205.1737,877.4194,509.837,1344.2989,898.909,875.6378,806.5825,1000,869.6172,1182.7865,1306.8323,854.5026,2410.7658,892.0329,289.8477,743.5488,1598.5066,895.7299,859.2291,813.7129,1192.5018,1755.0777,806.4378,510.1822,651.5593,1250.6367,875.0662,780.2105,221.4601,673.5754,556.7686,2295.7554,728.989,1073.6486,1157.2098,665.1808,1237.422,656.6456,591.7759,849.4347,1359.229,885.9001,621.6524
ABCG2,87.3171,60.6061,47.9532,62.0447,51.4469,56.3645,77.0772,48.5514,38.7631,18.1422,46.8616,77.7244,51.0258,104.5145,222.7785,36.0262,17.3228,33.3803,44.4856,65.59,55.9406,60.1565,21.9585,40.8163,1269.2308,32.2946,56.8376,61.7284,33.2978,114.9089,112.6007,732.1016,203.2846,32.7055,87.2331,29.877,103.2693,117.611,11.8959,34.328,98.4885,71.4286,101.8846,38.0485,71.324,108.1715,35.3201,63.7584,50.5717,38.1111,54.4761,67.4387,35.5791,61.0329,31.211,88.0173,25.7347,23.3335,79.3103,37.9214,84.507,55.0326,13.6178,23.982,44.6719,106.6308,30.9859,20.5958,128.6048,69.5043,11.6799,92.9608,85.4997,27.8373,25.878,85.8018,97.9631,33.2829,762.1537,105.5215,83.5776,138.5254,107.4946,149.4367,446.8828,175.0863,74.8649,88.3436,108.3779,116.9376,15.5239,71.5638,190.1364,144.9997,116.0535,132.2446,193.8953,64.0044,142.4217,90.2214,118.0706,121.0222,31.5533,149.1564,88.7192,49.2033,196.4072,61.285,93.7739,105.2147,144.2827,50.7614,160.4809,187.2022,168.6125,151.0734,144.5858,85.2564,73.8356,36.4369,103.4673,84.8785,129.1354,115.364,107.1964,333.5743,113.2161,79.2592,113.1344,37.0583,180.3749,81.2221,109.218,31.8013,27.9131,20.6644,84.1998,56.6308,39.3479,13.7725,152.2381,116.7092,152.8404,103.8707,96.89,40.9033,123.8095,141.9583,20.9335,32.4713,14.7208,84.0375,38.4836,58.0933,53.5987,86.6897,28.1182,89.6057,65.6652,105.5734,28.2744,54.9675,62.4669,81.6842,234.6889,59.4479,48.4716,33.3181,92.57,141.8919,101.5096,69.3413,37.8378,66.9831,87.6043,87.8726,37.9673,20.2844,57.5499
