gene_id,TCGA-AF-2687,TCGA-AF-2690,TCGA-AF-2693,TCGA-AF-3911,TCGA-AF-4110,TCGA-AF-5654,TCGA-AF-6136,TCGA-AF-6655,TCGA-AF-6672,TCGA-AF-A56K,TCGA-AF-A56L,TCGA-AF-A56N,TCGA-AG-3591,TCGA-AG-3592,TCGA-AG-3725,TCGA-AG-3731,TCGA-AG-3732,TCGA-AG-3742,TCGA-AG-3902,TCGA-AG-4021,TCGA-AG-4022,TCGA-AH-6544,TCGA-AH-6547,TCGA-AH-6549,TCGA-AH-6643,TCGA-AH-6644,TCGA-AH-6897,TCGA-AH-6903,TCGA-BM-6198,TCGA-CI-6619,TCGA-CI-6620,TCGA-CI-6621,TCGA-CI-6622,TCGA-CI-6623,TCGA-CI-6624,TCGA-CL-4957,TCGA-CL-5917,TCGA-CL-5918,TCGA-DC-4745,TCGA-DC-4749,TCGA-DC-5337,TCGA-DC-5869,TCGA-DC-6154,TCGA-DC-6155,TCGA-DC-6156,TCGA-DC-6157,TCGA-DC-6158,TCGA-DC-6160,TCGA-DC-6681,TCGA-DC-6682,TCGA-DC-6683,TCGA-DT-5265,TCGA-DY-A0XA,TCGA-DY-A1DC,TCGA-DY-A1DD,TCGA-DY-A1DE,TCGA-DY-A1DF,TCGA-DY-A1DG,TCGA-DY-A1H8,TCGA-EF-5830,TCGA-EF-5831,TCGA-EI-6506,TCGA-EI-6507,TCGA-EI-6508,TCGA-EI-6509,TCGA-EI-6510,TCGA-EI-6511,TCGA-EI-6512,TCGA-EI-6513,TCGA-EI-6514,TCGA-EI-6881,TCGA-EI-6882,TCGA-EI-6883,TCGA-EI-6884,TCGA-EI-6885,TCGA-EI-6917,TCGA-EI-7002,TCGA-EI-7004,TCGA-F5-6464,TCGA-F5-6465,TCGA-F5-6571,TCGA-F5-6702,TCGA-F5-6810,TCGA-F5-6811,TCGA-F5-6812,TCGA-F5-6813,TCGA-F5-6814,TCGA-F5-6861,TCGA-F5-6863,TCGA-F5-6864,TCGA-G5-6233,TCGA-G5-6235,TCGA-G5-6572,TCGA-G5-6572,TCGA-G5-6641
A2M,11839.8553,19893.0186,7590.1504,4841.394,8153.581,3498.9064,7069.6985,5736.2309,3486.7236,11460.7484,4153.5585,4266.0493,3171.311,5403.0375,2997.8674,16435.3589,6459.8186,5028.7939,5373.2932,4523.2317,7233.0341,1885.3082,12772.5886,10599.4192,5210.202,8341.3836,3199.0508,3842.7791,4331.3836,8172.1277,11589.051,10194.3046,3331.9076,4498.577,9465.8848,4975.0104,3346.0467,1770.8083,5127.6277,2764.3059,3281.4135,3941.1095,4772.3172,9447.2927,19228.5407,4677.1464,8806.7098,4293.867,15637.5229,2774.3743,3939.1425,6382.9839,1461.9358,4855.5841,3744.2851,5030.4792,4804.1318,1189.2349,1098.1801,3451,4265.0717,9525.0333,4307.0264,7365.6538,3138.8721,2243.157,6205.3628,3791.1333,3766.7575,12023.636,3302.9446,4744.4254,2468.6137,13495.302,5563.3312,9965.8674,6314.8719,45920.329,19009.5993,7916.4663,11988.2822,14650.4915,14830.6164,8875.3806,17012.8458,7647.4268,5789.0376,3539.2348,5801.7993,13385.2687,6142.7368,1429.7986,6446.2197,81932.4588,1983.0223
ABCA10,19.1571,25.4634,6.0586,3.9768,4.579,4.3526,18.2161,14.7142,42.583,20.7394,4.9057,16.9834,10.8008,7.6898,5.4899,2.2938,48.9841,9.7656,8.744,4.4626,35.0332,5.2556,32.4803,6.063,1.3268,12.5786,1.1718,17.6527,6.4043,12.9319,4.3091,12.2338,5.0869,3.8842,11.9816,3.2671,2.9836,7.136,4.1058,2.2104,5.0484,4.8239,4.2576,0,12.8971,8.4958,8.6256,5.7933,1.8786,2.2228,3.09,22.1774,3.0334,0.4951,12.0202,0.9805,41.8719,2.9426,4.4388,0,4.2679,28.0185,10.1322,6.1835,11.0041,5.1195,0.4213,11.2896,0,2.6707,5.814,7.4328,5.1938,27.7405,2.1896,8.9921,11.5113,12.1212,7.2688,7.8278,34.9245,3.3044,2.9744,6.5789,28.0185,1.3106,1.0653,4.6373,5.948,10.2195,25.702,24.5818,8.4814,23.6083,11.5607
ABCA12,1.2771,0,48.9019,0.3314,37.8812,7.0729,16.9598,13.5823,107.5781,0,0,0,509.695,3.5245,0.8446,8.7929,5.8957,0,0.3239,573.0755,1.7691,0.4778,58.563,0,1.769,0,1.1718,73.7118,147.2982,153.9705,29.3801,45.3835,7.2064,0,7.8341,29.4038,2.9836,0,2.281,0,131.2579,0,0,12.3839,0,3.998,7.2636,394.47,2.63,0.5488,0,8.5685,2.5278,2.9704,1.0017,0.9805,0.6158,0,2.5365,1.0101,0.4742,1.2361,6.6079,8.3659,5.0436,77.6451,0,9.1185,3.8926,0.4451,61.2175,33.7336,1.9976,17.8971,3.1279,2.248,0.3713,74.4589,0,1.491,0.4014,2.0653,0.3713,0.4699,0.4749,0,4.6165,13.2494,0,0,7.1395,0,2.8271,10.7311,21.4699
ABCA13,5.96,152.2619,2.1638,3.9768,11.2395,8.7051,38.9447,16.9779,30.2563,227.6826,18.4906,12.131,65.8335,246.7158,65.0338,8.0283,53.0612,9.7656,1.9431,10.7847,202.123,4.3,6.3976,26.8049,0.8845,3.1447,12.89,22.9008,16.5444,9.6989,5.0925,4.341,75.4557,8.1215,29.4931,6.5342,4.9727,12.6252,13.2299,23.4306,10.0968,12.5422,13.6243,20.6398,175.3045,30.9845,8.6256,15.7999,3.0057,20.3074,203.4247,8.5685,7.0778,3.9605,61.1027,15.6882,39.4089,12.2609,0,0.5051,5.6906,7.8287,125.5507,100.7551,44.9335,29.4369,23.5914,26.9214,188.7894,40.0611,3.078,21.7267,3.5957,12.0805,129.4964,1.8734,19.3093,29.0043,11.8117,1.491,9.6343,8.261,22.28,50.282,27.5436,4.3687,5.6818,8.6121,12.2677,24.9811,13.803,21.8505,18.1745,6.9752,8.6705
ABCA5,100.0426,212.417,261.387,234.6319,278.0726,45.7018,228.0151,204.867,632.5816,698.8278,138.4906,651.4355,327.11,173.0215,539.2736,132.2756,1086.1633,388.6719,311.8677,210.1153,692.0787,176.302,801.1811,281.1328,62.3581,61.5454,138.2745,620.4676,166.511,263.4876,57.1932,238.3621,257.3124,225.6356,404.1475,241.7642,195.4252,260.7383,155.5657,166.2246,74.6038,117.2214,356.3598,17.8879,292.8111,496.7516,155.2605,188.0184,183.3482,245.8562,314.1496,158.2661,235.0851,100.0035,503.8471,84.3241,770.936,556.155,222.5745,148.9899,497.9253,541.4158,362.5551,179.686,269.1426,204.7782,150.8162,352.1494,214.4803,524.8,314.2955,407.0898,411.1067,556.1521,74.132,88.7973,398.4404,187.013,260.7669,295.5922,849.4274,215.2003,273.6688,466.6353,494.3607,105.2862,58.2386,141.4376,157.6208,394.3982,673.9648,786.6166,172.8595,779.0744,499.5871
ABCA6,105.5768,171.6996,8.6552,6.628,19.1487,0.5441,12.5628,29.9943,10.6457,17.1326,13.2075,11.7266,2.0573,8.9715,2.1115,61.1679,35.8277,15.625,16.5164,10.0409,25.2101,2.3889,64.9606,9.2541,2.6535,39.5328,0.5859,6.4408,19.2128,10.9113,18.8033,16.9695,2.9674,4.5904,11.5207,2.5411,6.4644,3.8425,5.4745,0.8842,0.5609,9.1655,11.4955,0,80.7261,6.9965,113.0405,4.74,19.5371,1.6465,11.33,12.6008,9.6056,2.9704,3.0051,5.3928,3.6946,0,1.2682,1.0101,3.7937,10.7129,6.1674,3.2736,5.9606,1.7065,6.7404,4.3422,1.9463,7.5671,4.788,4.574,7.5909,33.1096,12.1989,26.9764,21.166,80.9524,48.1556,45.4757,83.4976,45.0227,10.3973,15.9774,68.3842,15.7274,1.7756,3.3124,2.974,46.9341,9.0433,4.5522,62.601,1055.3991,2.0644
ABCA7,229.8851,330.4408,286.4871,234.6319,193.5685,427.6387,312.1859,167.5156,451.0436,293.5077,686.0377,417.3069,231.9601,233.2586,578.9696,430.4693,310.2041,479.0039,818.6933,1081.071,193.2773,387.0043,424.7047,206.1428,709.8205,91.6442,155.2659,164.8378,1221.0807,244.4938,375.2816,180.7448,133.1072,225.6356,691.7051,197.1141,176.0318,319.473,56.5693,187.0027,35.3387,43.4153,278.8717,2106.6391,487.2224,133.4333,202.4742,366.0303,311.8422,100.9879,195.6998,371.9758,149.6455,291.0992,231.8899,168.6481,714.2857,294.2619,714.6481,76.2626,367.9905,329.6291,530.837,395.382,163.2279,411.2628,498.7888,231.4373,90.6968,172.7077,1047.5376,351.6295,654.0152,671.1409,221.4576,299.7377,763.8322,287.8788,477.4668,238.9339,464.4553,229.6572,89.1199,239.1917,225.0979,524.2464,452.0597,347.1348,185.5019,509.841,357.4488,202.1168,230.6139,176.5258,648.2246
ABCA8,184.3338,497.0496,79.1951,26.1807,135.2898,3.8085,43.9698,27.1647,29.1357,2.7051,11.6981,8.0873,24.1732,18.5838,13.5135,90.9873,213.6054,14.1602,66.3893,2.6032,52.1893,6.2112,273.622,47.866,3.538,35.9389,0,16.4599,73.6491,81.6327,144.9417,84.8474,23.315,10.5932,70.0461,15.6094,0.9945,0,3.1934,0,0,7.2359,5.1091,2.752,72.128,1.999,53.1154,20.0132,88.2927,0,4.12,26.7137,0,1.9803,17.0286,20.1005,6.1576,0.9809,3.8047,1.5152,0.9484,106.3054,5.2863,22.188,7.7946,11.0922,2.1064,1.3026,0,23.1464,6.4979,30.303,9.5885,172.2595,3.1279,31.8471,9.2833,164.9351,71.779,36.9024,85.5047,31.392,70.9246,12.218,119.6723,64.2202,3.9062,0.9937,8.9219,75.3217,15.7068,10.0148,254.0388,823.6083,7.4319
ABCA9,112.3883,216.5915,5.1931,4.6396,11.2395,1.6322,2.5126,7.3571,23.5327,11.2714,11.6981,3.6393,0.5143,3.8449,3.3784,19.115,13.1519,5.3711,13.9256,9.2971,10.1725,0.4778,24.1142,2.872,0,22.9111,3.5155,6.2023,25.0834,9.2948,8.6182,16.5748,2.5435,3.8842,15.6682,2.1781,3.4809,0.5489,2.7372,0,0.5609,6.2711,19.5849,0,138.524,5.997,71.7285,2.1066,10.8957,2.7442,2.575,8.5685,6.0667,2.4753,7.5126,8.8246,3.0788,11.7705,0,0,2.3711,8.6528,8.37,3.6374,13.2967,1.2799,2.9489,4.7764,0.3893,8.9025,1.71,2.287,5.1938,13.8702,4.0663,40.8393,9.2833,39.3939,24.5321,21.9924,64.2289,40.8922,10.026,7.5188,81.2062,22.7173,3.5511,2.9811,4.0892,40.8781,6.6635,6.3731,21.0016,70.8249,5.7803
ABCB11,2.98,0,0.8655,0,1.2488,3.2644,2.5126,1.6978,0,0,0,0.4044,1.0286,0.3204,3.8007,0.7646,2.7211,0,1.6193,0.7438,2.6537,3.3445,12.7953,0.9573,0.4423,0,1.7577,1.4313,5.8706,4.4453,1.5669,3.1571,2.5435,0,10.5991,0,0,0,0,0,0.5609,0,0.8515,0,0.4777,0,3.1778,3.16,3.7571,0.5488,0.515,1.5121,0,0.9901,0,1.961,0,0,0,0,1.4226,7.0046,4.8458,2.5462,0,0,0,8.2501,0,0,1.71,4.0023,0.3995,1.7897,1.564,1.4987,0.7427,0.8658,0.4543,0.3728,0.4014,0.8261,0,8.4586,0.4749,0.8737,0.7102,1.9874,0,3.4065,2.3798,9.1044,0.4039,609.5238,1.2386
