Gene,TCGA-AF-2687-01A-02D-1734-05,TCGA-AF-2690-01A-02D-1734-05,TCGA-AF-2693-01A-02D-1734-05,TCGA-AF-3911-01A-01D-1734-05,TCGA-AF-4110-01A-02D-1734-05,TCGA-AF-6136-01A-11D-1828-05,TCGA-AF-6655-01A-11D-1828-05,TCGA-AF-6672-01A-11D-1828-05,TCGA-AF-A56K-01A-32D-A39G-05,TCGA-AF-A56L-01A-31D-A39G-05,TCGA-AF-A56N-01A-12D-A39G-05,TCGA-AG-3591-01A-01D-1734-05,TCGA-AG-3592-01A-02D-1734-05,TCGA-AG-3725-01A-11D-1734-05,TCGA-AG-3731-01A-11D-1734-05,TCGA-AG-3732-01A-11D-1658-05,TCGA-AG-3742-01A-11D-1658-05,TCGA-AG-4021-01A-01D-1734-05,TCGA-AG-4022-01A-01D-1734-05,TCGA-AG-A01W-01A-21D-A081-05,TCGA-AG-A01Y-01A-41D-A081-05,TCGA-AG-A020-01A-21D-A081-05,TCGA-AG-A026-01A-32D-A081-05,TCGA-AG-A02N-01A-11D-A081-05,TCGA-AG-A036-01A-12D-A081-05,TCGA-AH-6544-01A-11D-1828-05,TCGA-AH-6547-01A-11D-1828-05,TCGA-AH-6549-01A-11D-1828-05,TCGA-AH-6643-01A-11D-1828-05,TCGA-AH-6644-01A-21D-1828-05,TCGA-AH-6897-01A-11D-1926-05,TCGA-AH-6903-01A-11D-1926-05,TCGA-BM-6198-01A-11D-1734-05,TCGA-CI-6619-01B-11D-1828-05,TCGA-CI-6620-01A-11D-1828-05,TCGA-CI-6621-01A-11D-1828-05,TCGA-CI-6622-01A-11D-1828-05,TCGA-CI-6623-01B-11D-1828-05,TCGA-CI-6624-01C-11D-1828-05,TCGA-CL-4957-01A-01D-1734-05,TCGA-CL-5917-01A-11D-1658-05,TCGA-CL-5918-01A-11D-1658-05,TCGA-DC-4745-01A-01D-1734-05,TCGA-DC-4749-01A-01D-1734-05,TCGA-DC-5337-01A-01D-1658-05,TCGA-DC-5869-01A-01D-1658-05,TCGA-DC-6154-01A-31D-1926-05,TCGA-DC-6155-01A-11D-1658-05,TCGA-DC-6156-01A-11D-1658-05,TCGA-DC-6157-01A-11D-1658-05,TCGA-DC-6158-01A-11D-1658-05,TCGA-DC-6160-01A-11D-1658-05,TCGA-DC-6681-01A-11D-1828-05,TCGA-DC-6682-01A-11D-1828-05,TCGA-DC-6683-01A-11D-1828-05,TCGA-DT-5265-01A-21D-1828-05,TCGA-DY-A0XA-01A-11D-A153-05,TCGA-DY-A1DC-01A-31D-A153-05,TCGA-DY-A1DD-01A-21D-A153-05,TCGA-DY-A1DE-01A-11D-A153-05,TCGA-DY-A1DF-01A-11D-A153-05,TCGA-DY-A1DG-01A-11D-A153-05,TCGA-DY-A1H8-01A-21D-A153-05,TCGA-EF-5830-01A-01D-1658-05,TCGA-EF-5831-01A-01D-1658-05,TCGA-EI-6506-01A-11D-1734-05,TCGA-EI-6507-01A-11D-1734-05,TCGA-EI-6508-01A-11D-1734-05,TCGA-EI-6509-01A-11D-1734-05,TCGA-EI-6510-01A-11D-1734-05,TCGA-EI-6511-01A-11D-1734-05,TCGA-EI-6512-01A-11D-1734-05,TCGA-EI-6513-01A-21D-1734-05,TCGA-EI-6514-01A-11D-1734-05,TCGA-EI-6881-01A-11D-1926-05,TCGA-EI-6882-01A-11D-1926-05,TCGA-EI-6883-01A-31D-1926-05,TCGA-EI-6884-01A-11D-1926-05,TCGA-EI-6885-01A-11D-1926-05,TCGA-EI-6917-01A-11D-1926-05,TCGA-EI-7002-01A-11D-1926-05,TCGA-EI-7004-01A-11D-1926-05,TCGA-F5-6464-01A-11D-1734-05,TCGA-F5-6465-01A-11D-1734-05,TCGA-F5-6571-01A-12D-1828-05,TCGA-F5-6702-01A-11D-1828-05,TCGA-F5-6810-01A-11D-1828-05,TCGA-F5-6811-01A-11D-1828-05,TCGA-F5-6812-01A-11D-1828-05,TCGA-F5-6813-01A-11D-1828-05,TCGA-F5-6814-01A-31D-1926-05,TCGA-F5-6861-01A-11D-1926-05,TCGA-F5-6863-01A-11D-1926-05,TCGA-F5-6864-01A-11D-1926-05,TCGA-G5-6233-01A-11D-1734-05,TCGA-G5-6235-01A-11D-1734-05,TCGA-G5-6572-01A-11D-1828-05,TCGA-G5-6572-02A-12D-1828-05,TCGA-G5-6641-01A-11D-1828-05
A2M,0.378475303,0.442832572,0.497891097,0.373402076,0.497719483,0.484240861,0.538388106,0.172167337,0.406104941,0.498097197,0.48771421,0.25304128,0.458059066,0.269960476,0.446932568,0.516326205,0.153972036,0.182555818,0.264298173,0.485461405,0.537532587,0.3427561,0.316426047,0.410475133,0.532935814,0.444322076,0.556432867,0.305051608,0.519653183,0.544894713,0.096446308,0.529857271,0.391134222,0.662468471,0.440813306,0.632127117,0.446961525,0.480010472,0.376575529,0.427015523,0.550851036,0.310961826,0.437447578,0.496298512,0.257953461,0.459006036,0.354084978,0.415518211,0.461165452,0.395750828,0.317507436,0.425821082,0.511877228,0.609955991,0.414158114,0.514012181,0.535612109,0.510553821,0.350477484,0.292239495,0.118597184,0.340613779,0.569108962,0.138950564,0.370843859,0.507109458,0.591578689,0.242565236,0.485877227,0.474047535,0.500812631,0.497842611,0.135964258,0.462395624,0.524068401,0.499496177,0.552881533,0.581037386,0.718239213,0.533600432,0.537129465,0.330796202,0.533382483,0.498501194,0.41358382,0.466079406,0.135234167,0.483808338,0.507796742,0.528543768,0.485911326,0.52067897,0.517613453,0.529400978,0.488898591,0.501599853,0.517449076,0.415230846,0.270981803
ABCA10,0.562490395,0.53774142,0.703861706,0.544811683,0.529994098,0.58342288,0,0,0.536401606,0.521228405,0.511903892,0,0.569345572,0.678037503,0.532354782,0.716671109,0.761680189,0.60516004,0,0.687814863,0.65382339,0.609634231,0.579781674,0.769687676,0.590824605,0,0,0,0.726645466,0,0.860810594,0.745868377,0.577251116,0.603061448,0,0.651670523,0.673632903,0.638006589,0.777547589,0.67714016,0,0,0.351623699,0.587612311,0.797737207,0.79429105,0,0.604815551,0.582652913,0,0,0,0,0.608777837,0.84386018,0,0.558567574,0.63716651,0.605797579,0.501854308,0,0.568417065,0.704529684,0,0.838723755,0.606162534,0.60782644,0.695896521,0.705689013,0.626599895,0.653207685,0.690218129,0.501854493,0.684943795,0,0,0.83327379,0.757587653,0,0,0.814303002,0,0.630350872,0.635390704,0,0,0,0,0,0,0,0,0.73309399,0,0.621345563,0.598828699,0,0.679939318,0
ABCA5,0.562490395,0.53774142,0.703861706,0.544811683,0.529994098,0.58342288,0,0,0.536401606,0.521228405,0.511903892,0,0.569345572,0.678037503,0.532354782,0.716671109,0.761680189,0.60516004,0,0.687814863,0.65382339,0.609634231,0.579781674,0.769687676,0.590824605,0,0,0,0.726645466,0,0.860810594,0.745868377,0.577251116,0.603061448,0,0.651670523,0.673632903,0.638006589,0.777547589,0.67714016,0,0,0.351623699,0.587612311,0.797737207,0.79429105,0,0.604815551,0.582652913,0,0,0,0,0.608777837,0.84386018,0,0.558567574,0.63716651,0.605797579,0.501854308,0,0.568417065,0.704529684,0,0.838723755,0.606162534,0.60782644,0.695896521,0.705689013,0.626599895,0.653207685,0.690218129,0.501854493,0.684943795,0,0,0.83327379,0.757587653,0,0,0.814303002,0,0.630350872,0.635390704,0,0,0,0,0,0,0,0,0.73309399,0,0.621345563,0.598828699,0,0.679939318,0
ABCA6,0.397521,0.435729083,0.506576959,0.292503956,0.505272965,0.414664321,0.443546695,0.428595306,0.378342706,0.39432913,0.304273355,0.386471518,0.391090168,0.3236451,0.429281045,0.225693871,0.529860711,0.432571035,0.418502017,0.299475872,0.475071411,0.411599447,0.372362699,0.498606196,0.358177981,0.547076289,0.642382061,0.492604665,0.531111447,0.391172998,0.416690654,0.494260273,0.613714676,0.555417774,0.415969459,0.546525335,0.280653538,0.358077019,0.523099358,0.430947479,0.360621912,0.489572288,0.194378524,0.459968612,0.549436676,0.319653639,0.14190177,0.49744649,0.430850765,0.414906115,0.29866334,0.568919758,0.349262342,0.546231928,0.521083296,0.553431618,0.40922692,0.45613505,0.443096553,0.281997215,0.308324986,0.424338705,0.145849997,0.108694053,0.420260556,0.503112087,0.796990347,0.361359881,0.448065866,0.50972159,0.530112161,0.514153971,0.157596295,0.296929664,0.536693609,0.504022192,0.526212809,0.58087802,0.385994259,0.666162735,0.339318879,0.404496024,0.612745731,0.442488657,0.399382896,0.363953487,0.19138048,0.191721231,0.54927552,0.43162766,0.467123539,0.49539818,0.513338421,0.519726111,0.461314011,0.493268511,0.458486262,0.485093541,0.456844866
ABCA7,0.034655556,0.033857133,0.034922743,0.031868435,0.034033459,0.043533267,0.035613908,0.036578505,0.034700547,0.035977673,0.034241681,0.045209771,0.030474299,0.026282043,0.034295083,0.044975449,0.042861803,0.028115576,0.034455756,0.04020786,0.043565083,0.041176729,0.040215085,0.04316603,0.043111014,0.042104074,0.035539512,0.042207504,0.037704639,0.042079318,0.035535409,0.040320031,0.032950785,0.037784348,0.045244758,0.048747288,0.041285932,0.044240937,0.049548552,0.030727667,0.042188814,0.038974701,0.030602883,0.036189693,0.042056718,0.041162833,0.050753022,0.04174588,0.041802021,0.044813997,0.045782195,0.043933061,0.037762987,0.039230762,0.042480661,0.039242014,0.044700472,0.03694721,0.034892309,0.032507924,0.029028651,0.034417266,0.031934823,0.044569708,0.046891459,0.030397574,0.029281521,0.038428573,0.029136963,0.027480558,0.030678622,0.025428961,0.026520703,0.027738238,0.037878492,0.041409811,0.040605932,0.036535747,0.035904887,0.043287585,0.042315485,0.052272671,0.028929186,0.027988315,0.040584882,0.053191303,0.039191881,0.045077454,0.039449401,0.037627935,0.04426351,0.041720912,0.049506357,0.038404986,0.027899364,0.029847047,0.041407088,0.049134166,0.044594497
ABCA8,0.379672022,0.379153491,0.571759127,0.194477838,0.504821277,0.320780233,0.501317307,0.433941631,0.448633676,0.590672224,0.37702463,0.270533885,0.178036848,0.120097634,0.507063715,0.382710518,0.246889379,0.291297521,0.595799333,0.416721188,0.730830124,0.484292837,0.297423596,0.38994458,0.309424468,0.781421901,0.617098668,0.668280386,0.53636614,0.468466314,0.20809591,0.602164166,0.697871758,0.640086603,0.329529483,0.661772955,0.316509374,0.44839701,0.501193976,0.598164269,0.382631156,0.321551637,0.514513246,0.560527441,0.492484336,0.350614424,0.221907683,0.394949482,0.674479257,0.333944464,0.380982188,0.419096237,0.462393991,0.841246149,0.44253597,0.835793384,0.189660187,0.248911755,0.192735695,0.280461511,0.115172944,0.36842739,0.34949343,0.208789649,0.494502865,0.465570311,0.811046645,0.258407112,0.438183835,0.26881506,0.591899704,0.634793699,0.200870414,0.419448197,0.469385656,0.464573775,0.485345915,0.671712017,0.398844415,0.594374347,0.16636239,0.458990586,0.579726625,0.45367151,0.52326124,0.431654366,0.276050771,0.387653749,0.655293396,0.541856904,0.402384996,0.442466399,0.514770447,0.713018625,0.571934026,0.558560834,0.637864464,0.521902304,0.359469666
ABCA9,0.613605176,0.556204655,0.616763188,0.277658843,0.682548343,0.723788771,0.621736449,0.639766449,0.681079315,0.499884457,0.647086576,0.535294723,0.590181267,0.206510993,0.340110075,0.359680697,0.510025033,0.443710723,0.599542691,0.506836302,0.592608899,0.80698751,0.663988382,0.792727106,0.542379113,0.709223225,0.601849568,0.677378674,0.54835916,0.629133409,0.592518934,0.468482712,0.554404044,0.704503633,0.31415127,0.787182586,0.747821535,0.647299563,0.701810023,0.769587195,0.823446947,0.730896011,0.633193427,0.744930539,0.683177271,0.436233809,0.532557856,0.646936409,0.543537098,0.614601844,0.520518912,0.715758597,0.687776073,0.750789844,0.579602044,0.646252224,0.575675427,0.696418567,0.630012705,0.42823157,0.268409154,0.826253754,0.742918847,0.433884615,0.558366635,0.714012459,0.777826173,0.605340597,0.598974912,0.530337802,0.696570308,0.784592729,0.16549861,0.62738555,0.791527837,0.609801582,0.75579743,0.717546748,0.388056061,0.494208588,0.635155107,0.386710614,0.435878912,0.568715517,0.527449748,0.395984165,0.474285234,0.441281837,0.683770181,0.660676851,0.48861995,0.673457273,0.643576862,0.727426505,0.525801871,0.592229415,0.729754739,0.697935127,0.788569098
ABCB1,0.031554048,0.038239295,0.046520917,0.029559813,0.033763779,0.04086387,0.035915139,0.032567697,0.036501117,0.03352311,0.034808788,0.032333076,0.028687293,0.026550577,0.034379902,0.049061062,0.03193137,0.029830429,0.027823987,0.05320748,0.036069625,0.039669514,0.033860014,0.041707544,0.040247914,0.065653481,0.073543089,0.037260316,0.033181027,0.035233016,0.033184685,0.038536716,0.037830126,0.038295763,0.039940744,0.03689275,0.037573157,0.041789223,0.040551475,0.033396917,0.032309098,0.034325441,0.030214536,0.033160646,0.040118011,0.040460765,0.034186794,0.03703716,0.036494706,0.031878152,0.03795431,0.043177557,0.039658248,0.037707404,0.03202726,0.103612997,0.036931243,0.034455566,0.033914383,0.033155768,0.028440378,0.030306533,0.03317905,0.03290762,0.035733867,0.040666843,0.044742792,0.028448981,0.02630369,0.040337326,0.034666721,0.033156679,0.031642312,0.035368668,0.033221918,0.031885242,0.032998941,0.042873823,0.031875939,0.064607579,0.034617436,0.074720954,0.032057848,0.032465461,0.039383192,0.048438557,0.034619605,0.034074243,0.04094097,0.143538341,0.082600993,0.044102481,0.035398929,0.035800025,0.037732019,0.027787346,0.035511969,0.047080737,0.041778754
ABCB11,0.629926472,0.76656684,0.873964682,0.660241756,0.825239816,0.883891725,0.720968735,0.820598097,0.71898624,0.847678651,0.836167478,0.815665628,0.624925961,0.712809144,0.59934287,0.84128545,0.580723989,0.601296775,0.616430693,0.674035345,0.836421828,0.842062935,0.81072698,0.842375982,0.780163209,0.917622677,0.825446135,0.606881357,0.842719715,0.843183344,0.613538708,0.827890686,0.699077128,0.648793025,0.788216595,0.844319474,0.855230159,0.768629704,0.761180412,0.621628144,0.752126137,0.775423673,0.775711418,0.837634625,0.822972698,0.750425337,0.464900789,0.841296729,0.799430444,0.620211946,0.561299496,0.786225404,0.810518636,0.833945872,0.585953911,0.88076277,0.697608934,0.846952219,0.529023375,0.467305303,0.367015827,0.512586637,0.649476662,0.548802491,0.882560668,0.881587851,0.817340278,0.848957623,0.846501254,0.852178943,0.751767339,0.767743288,0.374325729,0.626233797,0.880368306,0.85070587,0.932567843,0.879550574,0.815152568,0.889339641,0.836875479,0.832112043,0.832354113,0.822281936,0.752047061,0.61616339,0.324600243,0.738272659,0.832856639,0.892504715,0.798472716,0.84579732,0.895145376,0.824358726,0.799697674,0.809393021,0.87791594,0.687493302,0.781196604
ABCB5,0.593916651,0.752864923,0.745443946,0.470437961,0.698439923,0.63338412,0.629561194,0.863226042,0.549104148,0.642513969,0.649215597,0.586513176,0.472819536,0.351821672,0.800054667,0.565580816,0.393514593,0.908665555,0.627014633,0.456041143,0.842706307,0.86032068,0.326714551,0.51604516,0.445240167,0.868961623,0.783302158,0.880481591,0.695599821,0.791801225,0.391305447,0.689090524,0.900060565,0.59322676,0.543982065,0.858743307,0.737966466,0.434974403,0.633269895,0.571908179,0.745667394,0.423653651,0.647084345,0.525838461,0.777703348,0.505775596,0.310712011,0.863048686,0.621010353,0.319069163,0.442765367,0.893873374,0.768832326,0.910802347,0.564482867,0.760068991,0.743463305,0.65719081,0.669483582,0.3050407,0.642710327,0.368042205,0.520379157,0.491013191,0.642183871,0.874780858,0.921281486,0.772245357,0.90758812,0.818457844,0.692171278,0.603298923,0.386816784,0.41446186,0.718078794,0.879249381,0.726733805,0.630244753,0.615994475,0.901140264,0.524162987,0.921795194,0.548830361,0.604676381,0.617658027,0.675725822,0.323264286,0.485825048,0.749160384,0.869707555,0.901414677,0.704477209,0.891380299,0.743720852,0.685897221,0.653875746,0.943340784,0.912141901,0.87886868
